"","X1","x","y","z","t","semb","unc_x","unc_y","unc_z","well","stage","ampc","snrc","mw","m0","mti_strike","mti_dip","class_well","class_stage","t_scale","x_scale","y_scale","z_scale","bool","cluster"
"11657",11657,2282.73867956893,827.73476743399,-2492.81,29.838205301,0.199221,1.46193,1.29626,2.96584,5,6,48.860653,2.430161599,-1.479189485,6042487.66,63.1771,70.9682,5,6,2.44030409604521,-0.224703637600142,-1.39355001547525,-0.804487943758933,0,"5_6_HF2"
"11658",11658,1856.17651381814,1237.3263704363,-2419.5,32.4136956480007,0.207127,5.52959,4.10682,42.7595,5,13,59.18371765,4.072088355,-1.479279589,6040607.49,63.914,76.856,5,13,2.65093940670514,-0.685573880264196,-1.00610389565531,0.0144255865794852,0,"5_13_HF2"
"11659",11659,2332.63920511723,3295.84148969099,-2500,15.6062313660013,0.156452,7.2255,5.17955,55.9108,2,25,52.77870523,3.425857052,-1.479459795,6036848.92,266.468,74.4952,2,25,1.27634855857118,-0.170789649991722,0.941113014310019,-0.884804248262184,1,"2_25_OUT3"
"11660",11660,2373.93424113854,3590.42217473329,-2518.09,10.5495307869988,0.230969,3.28966,2.44149,42.6995,2,19,100.3005809,5.660222655,-1.479549899,6034970.5,224.595,88.2309,4,16,0.86278859372301,-0.126173285016023,1.21976653786112,-1.08687962357008,1,"4_16_OUT1"
"11661",11661,3214.11144747658,2615.8946799698,-2429.98,39.2962051620003,0.241513,2.7522,1.67463,15.2861,8,13,109.9921369,6.637117431,-1.479549899,6034970.5,70.4969,83.7921,8,13,3.21382232773392,0.781578747526028,0.297929044767229,-0.10264185030425,0,"8_13_HF2"
"11662",11662,1338.19958339554,1886.11805537841,-2466.23,12.3185652080013,0.202605,4.42266,3.23352,21.7627,1,9,64.5658976,4.691623317,-1.47959495,6034031.53,48.5126,81.9816,1,9,1.00746827201025,-1.24521130895662,-0.392390579611473,-0.507574539906865,0,"1_9_HF1"
"11663",11663,1576.51578185886,2212.07306830195,-2483.07,16.0905324770014,0.261312,1.16865,1.13165,2.492,3,11,45.1652802,2.79071207,-1.479640002,6033092.68,45.2123,77.173,3,12,1.31595690541948,-0.987727516358073,-0.0840590511636814,-0.695686719021571,0,"3_12_HF2"
"11664",11664,3811.65910398608,3511.75654532628,-2400.56,29.5280393059993,0.211842,3.7597,3.44394,23.8518,8,4,64.6610025,5.07366992,-1.479640002,6033092.68,275.206,64.0195,8,4,2.41493731073025,1.42718671647038,1.14535414108948,0.225995935298755,0,"8_4_HF2"
"11665",11665,2484.13683298644,2450.67210947777,-2434.11,39.3430108330012,0.317092,2.09566,1.3556,9.71454,8,13,182.6485893,9.893231016,-1.479685054,6032153.98,61.0003,86.0728,6,12,3.21765030832154,-0.00710718088145787,0.141639600905139,-0.148776250526563,1,"6_12_OUT1"
"11666",11666,1515.75409615147,2241.72205563714,-2411.15,16.092559977,0.454958,0.845938,0.797221,1.88398,3,11,147.6267072,7.825556777,-1.479775157,6030277.04,42.3767,82.0239,3,12,1.31612272358788,-1.05337621913825,-0.0560131024298522,0.107699737150018,0,"3_12_HF2"
"11667",11667,2310.38655471331,1321.93169680528,-2426.46,32.2917149770011,0.175565,4.56321,3.17048,10.9424,7,17,37.09668335,3.007721997,-1.479775157,6030277.04,73.9814,81.3257,7,5,2.64096327281652,-0.194832064474315,-0.92607294488024,-0.0633214898242172,0,"7_5_HF1"
"11668",11668,3173.27603086306,3190.59571637916,-2474.52,30.3199393060003,0.335124,1.15956,1.17126,2.63898,8,5,150.0371839,10.75697747,-1.479865261,6028400.66,53.4244,72.938,8,5,2.47970249329289,0.737458968804359,0.84155758837301,-0.600178457060125,1,"8_5_OUT9"
"11669",11669,2657.63962388622,2383.94244253715,-2418.86,40.1430278240006,0.281304,2.22013,1.71181,26.6416,8,15,202.7282755,11.07170549,-1.479865261,6028400.66,277.615,76.9216,8,15,3.28307933531386,0.180350310113157,0.0785178221784541,0.0215747430303989,0,"8_15_HF1"
