"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29"
"1",3.38878842676311,3.44122965641953,3.13562386980109,3.02350813743219,2.00180831826401,7.22061482820977,7.36075949367089,6.13471971066908,1.93399638336347,3.28028933092224,3.3625678119349,3.03345388788427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",1,3.05967450271248,3.56781193490054,1.08318264014467,2.05153707052441,1.95479204339964,1.80289330922242,1.96564195298373,1.09764918625678,2.77305605786618,1.28661844484629,2.51446654611212,0,4.77396021699819,2.18535262206148,1.58951175406872,2.6745027124774,2.82278481012658,2.59222423146474,2.61482820976492,2.73146473779385,0,1.46654611211573,4.02983725135624,4.39692585895118,2.67992766726944,2.04339963833635,0,0
"3",3.17359855334539,6.94755877034358,3.09764918625678,4.06690777576854,0,3.71066907775769,5.05244122965642,3.41952983725136,6.52169981916817,4.08137432188065,3.62929475587703,3.74321880650995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",0,1.21971066907776,1.37974683544304,1.66003616636528,0,1.81916817359855,2.95660036166365,0,1.10849909584087,1.77938517179024,0.999095840867993,1,1.04701627486438,3.00542495479204,1.29475587703436,2.06057866184448,2.9629294755877,1.0994575045208,1,3.50090415913201,1.40415913200723,1.71699819168174,1.72423146473779,1.23598553345389,1.20795660036166,4.18444846292948,1.2631103074141,0,0
"5",0,1.0253164556962,1.66455696202532,1.07414104882459,3.26672694394213,2.01446654611212,4.01898734177215,4.08499095840868,3.85352622061483,3.88065099457505,4.00271247739602,2.88065099457505,4.86437613019891,1.76039783001808,5.59855334538879,3.60849909584087,3.62567811934901,1.43942133815552,6.09403254972875,4.01898734177215,2.26672694394213,3.12206148282098,7.1130198915009,3.32730560578662,2.84358047016275,4.67179023508137,3.07052441229656,2.80560578661844,4.40867992766727
"6",2.41320072332731,4.36075949367089,4.22332730560579,3.35352622061483,5.81012658227848,3.68444846292948,5.0623869801085,3.31645569620253,2.76130198915009,4.61121157323689,7.17359855334539,2.44303797468354,7.23508137432188,4.37341772151899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",6.81645569620253,4.06690777576854,3.91410488245931,1.97197106690778,3.4005424954792,5.77938517179023,1.73146473779385,5.47016274864376,3.250452079566,2.56057866184448,3.32640144665461,1.81012658227848,2.59403254972875,2.84358047016275,3.03526220614828,2.00994575045208,2.85623869801085,0,0,0,0,0,0,0,0,0,0,0,0
"8",1.89240506329114,2.0379746835443,2.04701627486438,4.91320072332731,8.10397830018083,4.35171790235081,6.01717902350814,4.91500904159132,4.54068716094033,10.5587703435805,4.31103074141049,4.35804701627486,6.45207956600362,3.03164556962025,4.12567811934901,0,0,0,0,0,0,0,0,0,0,0,0,0,0
