"","n_total","n_is","n_hf","mean_strike_is","mean_strike_hf"
"176",473,86,387,186.18602886392,177.49332126341
"177",481,83,398,190.215353515723,173.240632755787
"178",489,88,401,210.200321920709,177.430395768517
"179",476,81,395,179.803453671549,175.348604775729
"180",496,90,406,184.772099838714,180.273162458613
"181",467,84,383,194.136253528946,178.555795865006
"182",485,78,407,196.851921387986,169.996312510792
"183",497,90,407,197.500278198175,174.716740699198
"184",493,91,402,193.029851926754,173.479392614739
"185",492,82,410,196.917890527465,178.019899874848
"186",498,90,408,178.82900179867,177.299014902826
"187",479,90,389,191.107217065944,175.13115880818
"188",480,85,395,191.222475484761,179.37196924446
"189",472,90,382,190.948120143635,177.355147417004
"190",485,97,388,190.369480311021,170.417928380186
"191",482,82,400,184.834113042037,178.100990356683
"192",490,86,404,188.173442699302,178.854851871067
"193",487,92,395,194.052778152035,177.824698402506
"194",492,91,401,201.19247557159,173.245923019586
"195",472,82,390,202.030880202334,173.886179174217
"196",484,82,402,202.653880798938,178.476811998121
"197",489,88,401,195.003673373962,176.254928088481
"198",479,85,394,197.832449108742,175.463079176126
"199",477,81,396,200.232614323029,178.117003348467
"200",488,87,401,186.496904948309,177.843665260057
"201",480,79,401,196.859438431541,178.422061079923
"202",481,96,385,200.098010380103,175.417386732053
"203",481,85,396,201.208127714536,175.363943326687
"204",483,86,397,184.797837615931,169.546058480298
"205",502,90,412,181.729539893468,177.208980225025
"206",473,83,390,186.268059844868,172.966184359038
"207",496,88,408,189.899141495825,175.130208048596
"208",480,82,398,191.801875852129,181.106464629658
"209",498,88,410,199.382198303879,171.804848322043
"210",478,86,392,190.306332069773,181.387712040356
"211",488,83,405,198.206110638969,175.634247702925
"212",477,89,388,192.75684331099,181.323960647141
"213",463,87,376,201.046802072165,180.627843910395
"214",502,91,411,185.940392278418,175.555183032482
"215",490,86,404,199.651472632964,174.949074672599
"216",488,83,405,182.513703844124,182.769643018632
"217",482,82,400,213.422371558349,171.259925037675
"218",493,89,404,193.268784231874,180.929554694389
"219",471,85,386,204.115950822652,175.281876486228
"220",497,86,411,194.219261674521,178.858374929519
"221",492,89,403,197.617834696547,169.209037714642
"222",489,85,404,190.974947549108,178.42045190157
"223",498,90,408,189.168589139162,171.899923972177
"224",482,91,391,194.930078720765,169.318565120645
"225",485,83,402,189.431746204551,173.525912638506
"226",479,87,392,198.845881043207,175.005033730234
"227",484,90,394,186.220004321961,177.791466457877
"228",465,79,386,209.665323591575,170.90185592711
"229",472,89,383,203.73178742481,173.58562348588
"230",489,89,400,193.459018320893,177.972425354027
"231",493,82,411,195.264559797072,177.471140342795
"232",478,84,394,193.423827242537,184.738821705431
"233",485,87,398,185.333834740531,177.137955709109
"234",493,85,408,198.385748911444,177.459416103311
"235",487,86,401,196.005811037383,176.040349936388
"236",500,89,411,201.825801415652,178.403930168387
"237",502,86,416,189.235003014898,173.567273550935
"238",479,85,394,196.152245131677,175.09426245741
"239",483,83,400,192.182589936222,174.216830710697
"240",474,86,388,189.812955135387,180.830571337116
"241",474,79,395,208.730686821769,174.370694962257
"242",467,89,378,203.010619949208,182.34050742
"243",468,80,388,187.775348209217,176.197599577159
"244",470,81,389,192.649276824633,175.146427925431
"245",498,94,404,197.127945348498,182.020428556223
"246",494,88,406,195.073327506413,178.575164998158
"247",460,80,380,191.765503982294,175.159008387003
"248",490,88,402,209.887015677237,178.073552522438
"249",484,88,396,192.357462638741,176.220749205709
"250",495,88,407,201.269868052186,176.386750395775
"251",486,91,395,199.241865924882,175.817444692568
"252",482,84,398,201.986504432973,174.498409471996
"253",484,85,399,199.355683961316,176.532605735863
"254",500,89,411,193.922285799023,177.374772469623
"255",463,82,381,189.797030037587,174.193883781057
"256",482,80,402,182.566385514477,176.824911650962
"257",494,87,407,183.760307600662,178.280237073925
"258",491,82,409,197.190183652139,175.767238712587
"259",500,85,415,190.189284698354,172.431496744868
"260",484,90,394,195.752003846942,177.328265001427
"261",483,79,404,211.205868726823,185.223304127309
"262",484,93,391,177.832970954125,176.037687943816
"263",483,82,401,199.463988134573,172.454127364252
"264",497,83,414,189.452836568183,179.2566379233
"265",480,91,389,191.383059883189,178.32709000382
"266",473,74,399,187.948178972353,177.522514651522
"267",485,79,406,200.321011640133,184.016982402399
"268",483,89,394,195.959301656271,177.844839629394
"269",484,90,394,176.550591778013,179.242117975844
"270",478,83,395,188.992160505724,177.419181291599
"271",495,81,414,190.087086691255,180.852770067962
"272",484,85,399,181.969762801907,177.235984043189
"273",483,81,402,200.208167821186,178.097684557155
"274",483,83,400,190.17045163714,181.612336381686
"275",473,82,391,191.542099867144,180.378168901325
"276",466,83,383,186.515383769109,180.533663499754
"277",500,86,414,193.606903529649,176.709901988736
"278",486,81,405,204.293016798957,174.942670639764
"279",471,78,393,194.030175953814,173.798288878401
"280",484,95,389,206.45412390197,175.54647051253
"281",485,92,393,211.815863644119,179.945369313394
"282",485,92,393,189.126184376989,183.331324759624
"283",476,83,393,185.928557340287,178.110556039787
"284",482,79,403,189.635873385917,172.841749837746
"285",480,85,395,206.56460948827,171.357514710703
"286",487,86,401,198.859628467564,180.293933359763
"287",472,77,395,191.704578092336,178.698355716958
"288",477,82,395,202.43820041826,173.610515625503
"289",491,79,412,190.076406884441,179.664738248733
"290",461,85,376,187.776381308548,173.296371713698
"291",475,98,377,202.504050047644,177.930904970983
"292",473,80,393,216.485561789244,168.662365448657
"293",492,89,403,200.66506486224,176.443734788231
"294",489,95,394,195.87358833032,181.024730552997
"295",487,91,396,205.57140430055,175.383522968184
"296",502,85,417,189.829462984322,177.246907744225
"297",482,83,399,204.053308890693,172.541158596752
"298",471,79,392,190.593618408207,174.609441617282
"299",472,83,389,195.02424082368,170.371301796846
"300",487,83,404,198.176629026057,175.437001428907
"301",486,84,402,194.90989777967,175.060488275608
"302",469,85,384,192.368946342478,181.064835780628
"303",491,87,404,199.497273494477,178.093821456588
"304",487,83,404,192.019796888311,178.5847182944
"305",497,93,404,180.429863699914,179.533605913227
"306",476,92,384,181.301565769394,175.435779026355
"307",483,90,393,198.224174001471,176.227272199174
"308",471,89,382,193.96073467305,176.97608068922
"309",477,79,398,188.378617012966,167.539560728524
"310",478,90,388,189.450740207588,171.224691799976
"311",486,77,409,192.445413138689,180.627518605848
"312",482,91,391,199.836958378729,174.605070930248
"313",496,92,404,186.255348683056,180.053978924745
"314",492,83,409,199.933465455385,176.564883734856
"315",464,80,384,197.917976870298,182.766057420398
"316",484,85,399,202.785770111006,171.976256144941
"317",471,86,385,206.413410355986,175.809984641868
"318",484,81,403,213.912035201066,178.569132794147
"319",478,96,382,196.292706736257,175.350001876194
"320",458,81,377,193.685635044956,182.159679600048
"321",479,85,394,197.288541587574,177.950407994168
"322",468,78,390,198.322343751202,173.026776319629
"323",507,101,406,204.328664284895,170.579935742433
"324",483,87,396,189.031857412278,176.026499901165
"325",491,93,398,179.448343589046,182.682661603392
"326",477,86,391,193.166835960441,171.999447805728
"327",488,92,396,189.436273284546,175.721338103721
"328",496,84,412,189.401672699021,180.370825190465
"329",479,87,392,185.195364369732,172.484997842458
"330",477,89,388,192.62458835522,175.395586729915
"331",483,81,402,192.031166195574,181.063713870668
"332",498,92,406,187.982188635447,176.686599817439
"333",476,84,392,194.087613605809,173.581783881656
"334",483,87,396,185.954954553275,179.516266001347
"335",502,87,415,191.763182230987,175.603376464617
"336",489,82,407,199.275026025376,170.582470329532
"337",496,89,407,196.791999167035,179.484601145231
"338",488,87,401,194.749195763893,176.495622511151
"339",483,78,405,205.140211975076,179.002860897507
"340",480,83,397,208.892578639641,175.237894757459
"341",484,78,406,202.516779119184,172.88686505382
"342",491,82,409,208.510384701945,185.321274075229
"343",484,92,392,191.591275531816,180.453141199145
"344",483,83,400,199.484559341549,181.747495381272
"345",484,81,403,192.67530133918,181.358420116122
"346",486,79,407,200.157369117368,181.289989249841
"347",481,85,396,196.89272176187,175.113160723403
"348",506,99,407,192.508595498632,176.447002264104
"349",478,85,393,199.624943637653,174.995067674635
"350",481,81,400,197.54406415885,172.630581530257
"351",477,86,391,186.213028768265,180.816011183795
"352",478,86,392,194.593804948023,177.998810348681
"353",494,87,407,195.639186652347,181.782549668336
"354",497,88,409,197.534902644578,178.882501500559
"355",494,87,407,197.948153820088,173.411603057027
"356",483,89,394,190.935748075231,179.086233086031
"357",496,90,406,194.49436969561,175.346145126749
"358",498,84,414,194.249334394667,177.843776538744
"359",480,79,401,195.08493536836,175.377205266973
"360",499,84,415,198.054686416394,174.325088182432
"361",481,87,394,202.524782523193,178.396290738522
"362",486,87,399,195.21809498809,182.079841470977
"363",496,80,416,192.013136745328,179.813578411894
"364",489,85,404,183.412086586784,182.366732386624
"365",487,88,399,200.308580605978,173.446591665396
"366",494,89,405,197.020639399094,178.135317494697
"367",489,93,396,191.360049752039,182.780231889554
"368",501,90,411,209.895514933165,177.663685731166
"369",486,83,403,209.013443355093,174.931475476583
"370",488,79,409,201.723289566689,169.363268402188
"371",486,88,398,193.512349740844,176.096920096563
"372",482,87,395,188.956257833264,175.651917883864
"373",495,86,409,187.531869790267,175.247108778722
"374",468,82,386,201.645366040343,174.559882907827
"375",474,87,387,198.551873162258,177.026283689767
"376",499,87,412,203.010613233842,177.748275163098
"377",494,84,410,183.337303751226,179.969680799766
"378",486,87,399,201.903914247126,171.600266877232
"379",482,84,398,204.78237717643,177.764103405701
"380",483,83,400,178.386914651484,175.659893481981
"381",504,97,407,196.20370225211,180.820432265254
"382",497,88,409,192.578827142487,173.951462240285
"383",482,70,412,205.342907142547,177.889205987139
"384",491,89,402,186.487669682937,184.564695868949
"385",492,93,399,191.246780134771,173.028164158943
"386",477,81,396,189.60434061698,176.096997048512
"387",485,90,395,196.651027521889,173.336318197766
"388",495,85,410,193.226216661512,175.513595866306
"389",467,81,386,193.12202305849,175.426510722066
"390",489,83,406,185.348207590215,174.304134388603
"391",488,92,396,201.478775496446,178.980729733655
"392",479,85,394,192.719353475294,176.060386834913
"393",499,90,409,200.26607550818,172.065920882641
"394",489,90,399,203.389054402501,178.314608326795
"395",479,85,394,206.863567110466,176.380435439001
"396",481,83,398,204.868778765787,179.26213265793
"397",482,83,399,193.53714980164,177.628159249466
"398",477,80,397,203.367989116115,184.515126397975
"399",476,82,394,196.882375202291,177.341879162116
"400",478,91,387,192.568730668579,175.416471132077
"401",497,84,413,194.775934007804,174.331824064388
"402",480,87,393,188.283869834328,182.239627550349
"403",480,85,395,201.262374899592,176.753084457171
"404",476,83,393,197.708011176771,175.255909157467
"405",478,84,394,201.582249747358,182.344914569864
"406",486,85,401,215.255222368628,174.61391606404
"407",487,81,406,190.95419016014,173.495766904828
"408",475,87,388,205.14681974621,170.868105378364
"409",474,79,395,197.255301693859,171.129137728209
"410",483,82,401,196.265207417145,169.928285374477
"411",484,87,397,192.138528822209,175.907892915311
"412",471,91,380,187.979574361,170.010710201732
"413",495,86,409,189.847909211402,175.508560171826
"414",467,78,389,191.312575235974,184.142046814794
"415",476,87,389,186.652865295869,176.296393973184
"416",490,89,401,207.777520093921,176.916523120978
"417",489,80,409,192.391998575823,177.287866473901
"418",485,77,408,200.500390685067,174.790768214742
"419",480,86,394,199.092540727546,181.131063349428
"420",489,83,406,200.015397847932,167.285198260697
"421",487,96,391,185.799910794363,183.336459514303
"422",489,90,399,211.638587385362,179.624905695973
"423",464,85,379,195.199413798019,176.257073162986
"424",467,86,381,188.229067163788,175.804658289322
"425",497,82,415,191.638165919236,179.640288377179
"426",479,84,395,202.642466297197,182.521034949148
"427",491,90,401,176.823767911982,178.601760875012
"428",489,88,401,203.413243336769,177.981207242167
"429",477,88,389,192.558030112006,177.835696420654
"430",486,86,400,190.013802495509,179.512535927106
"431",476,80,396,197.783588049234,174.440332159047
"432",478,81,397,203.741945768537,174.249850830074
"433",487,86,401,181.283190737408,172.970765430418
"434",476,83,393,199.700703130207,176.110360845701
"435",480,92,388,201.586244236831,179.76174723233
"436",463,85,378,195.129877070865,183.572562018719
"437",483,89,394,195.079734783456,173.374002335664
"438",502,102,400,183.339222186298,176.831661498173
"439",496,92,404,198.797193870258,171.556400552503
"440",489,80,409,194.090835900387,170.557110877233
"441",489,87,402,195.122093256362,178.654400090657
"442",491,85,406,198.020975134431,172.605644101911
"443",486,82,404,193.941612072019,175.669775649202
"444",488,81,407,192.434243132856,186.32645873956
"445",486,91,395,202.685468469051,171.305871021998
"446",489,95,394,207.067987842875,172.249749544717
"447",482,81,401,189.730636792874,179.389904915355
"448",491,85,406,201.303086290668,180.844470301441
"449",479,84,395,195.162932112978,177.142531323363
"450",486,86,400,183.808439159047,173.039754017519
"451",491,85,406,195.830869024068,176.031547871388
"452",489,83,406,188.645742590898,174.866366723511
"453",489,83,406,198.970580441469,176.335992786975
"454",478,81,397,201.639359945989,177.256827199464
"455",494,89,405,185.239008609386,174.238578725557
"456",472,82,390,200.608438368953,179.36931407267
"457",484,85,399,213.9676612603,177.758593162834
"458",489,75,414,198.022336176794,180.923319546417
"459",485,96,389,182.787195948845,176.340019978752
"460",467,84,383,200.561711916607,184.501882412458
"461",489,88,401,194.104839191065,179.183475715378
"462",483,85,398,196.18295734812,178.933501220089
"463",483,90,393,195.468792791866,178.259614473774
"464",483,90,393,206.358954240902,180.171489332984
"465",486,92,394,189.192205886856,175.609145279033
"466",468,87,381,193.578669576088,172.694827497221
"467",488,83,405,186.043827518345,176.162155214474
"468",485,90,395,188.234477218639,178.398985181189
"469",481,87,394,195.329114422733,180.796806655651
"470",479,83,396,194.891854736493,176.02826460172
"471",476,88,388,202.157434990547,181.8351950023
"472",469,80,389,190.273327846554,178.874927779651
"473",478,81,397,198.443219667994,180.834798985673
"474",499,88,411,194.586999954722,174.987564996722
"475",497,90,407,198.576231602348,181.618963465397
"476",491,85,406,189.897886898737,179.821852546951
"477",456,82,374,189.445027868625,176.01276704811
"478",505,88,417,190.092182900277,176.109768263581
"479",483,84,399,208.539609041653,173.433477391804
"480",481,88,393,183.79616877527,174.969053721508
"481",474,82,392,192.861394669041,169.347485902061
"482",485,86,399,189.508478484317,173.431102204437
"483",492,89,403,193.874630029118,177.82014135574
"484",470,83,387,195.057068908647,166.103440332564
"485",474,89,385,201.365524171177,180.303864558031
"486",479,86,393,180.691825549968,182.807115249144
"487",482,87,395,188.750032870828,169.166921960346
"488",475,83,392,196.299251719629,171.233735460257
"489",504,99,405,199.835780488334,175.790610699672
"490",485,85,400,204.346688663443,182.529857813473
"491",477,81,396,184.770420752457,175.574591544241
"492",486,85,401,191.182313753856,169.365105303385
"493",497,89,408,187.226965997566,178.635317682685
"494",478,82,396,197.631758921841,175.220288278913
"495",483,86,397,196.211340516422,175.928623148948
"496",490,79,411,191.561123769028,171.973990271536
"497",499,86,413,191.286899641646,176.646829770771
"498",492,89,403,197.444611572655,177.67575679088
"499",487,92,395,196.276883039376,173.531903314874
"500",496,86,410,196.444221113465,184.541312363987
"501",476,81,395,209.254341989907,177.745474452163
"502",479,84,395,190.267666416143,183.795655453232
"503",494,91,403,191.293608529093,174.515381677282
"504",473,89,384,190.094009399886,176.640902263122
"505",479,86,393,200.692717971057,176.09160950947
"506",494,89,405,190.780594394375,175.137847590408
"507",494,90,404,195.257568489161,181.633442843372
"508",482,85,397,200.326525465248,178.620869625327
"509",481,80,401,197.79326706532,179.369528093182
"510",492,94,398,178.694075338662,174.699963702515
"511",486,86,400,204.115394910524,171.827657210142
"512",485,86,399,192.413095184812,179.038229940249
"513",494,92,402,189.530169027439,177.290259859604
"514",492,82,410,202.570961893639,180.17823777297
"515",509,86,423,188.700759583356,168.497550688914
"516",474,81,393,197.295349172931,176.953648880174
"517",488,85,403,193.541024835103,182.214982644353
"518",493,92,401,194.43026902258,174.494576367915
"519",492,81,411,197.738263540431,177.882863605597
"520",488,87,401,192.86789584679,173.27980351983
"521",493,84,409,209.482686968189,177.762621374337
"522",494,95,399,192.59610076021,172.120021780252
"523",493,90,403,190.964804114135,180.148103798513
"524",482,87,395,201.053065825254,176.199347439293
"525",469,85,384,197.367252136103,176.376544407264
"526",480,84,396,198.61924459955,172.898720639934
"527",467,81,386,186.118276123948,179.989971009132
"528",480,82,398,199.402669168675,183.144616709348
"529",484,88,396,191.217642354776,176.146143890645
"530",471,83,388,214.581450816795,178.72599198655
"531",478,85,393,202.018200117989,177.211837023706
"532",488,82,406,192.113328668053,182.333478352095
"533",481,89,392,198.557077213145,174.437331170592
"534",499,99,400,197.790283474702,178.951898537373
"535",481,88,393,196.800222193124,172.22500719077
"536",485,94,391,192.217894691383,175.183196555409
"537",472,87,385,187.323532568818,173.618740701627
"538",495,86,409,192.815010899812,178.892007756916
"539",467,80,387,200.432964997588,175.523801684085
"540",499,88,411,193.755397383077,175.092153449168
"541",497,103,394,202.382765084476,182.686491848023
"542",479,82,397,206.777104176958,172.74410397614
"543",489,84,405,203.067481814331,174.806610177879
"544",488,79,409,193.470278425597,176.56013101732
"545",476,88,388,193.646120784863,179.146271181299
"546",484,87,397,187.99857323168,177.226228942653
"547",508,79,429,181.914964731201,181.187435435977
"548",471,84,387,193.405457851777,182.619433962078
"549",492,89,403,200.652378775586,166.287251695396
"550",478,73,405,200.944338039577,171.698962931981
"551",500,93,407,199.371080998238,183.133670309592
"552",500,90,410,191.050135641316,178.658137045341
"553",481,82,399,200.881207874511,172.123697494348
"554",473,78,395,209.75706516877,179.379052147779
"555",462,83,379,192.66654984264,174.183858602154
"556",485,86,399,187.855892220553,174.91734851575
"557",484,87,397,201.244487124857,179.542525113835
"558",475,83,392,203.760299173368,176.996455706201
"559",471,78,393,188.64958810554,175.82408155739
"560",482,86,396,194.659735936023,172.964129445502
"561",501,84,417,202.091243695405,175.767236436663
"562",487,90,397,205.455218502908,180.979297490438
"563",473,85,388,199.17409376774,174.629040265607
"564",478,91,387,184.092571749858,175.785847702897
"565",492,93,399,201.964888308783,178.799483706182
"566",477,85,392,190.330496362637,181.3293714287
"567",470,83,387,194.185949903165,184.812382283677
"568",491,83,408,194.208202392797,172.273922795384
"569",488,92,396,187.623098481643,173.490348167012
"570",470,81,389,204.679789580389,172.54000435314
"571",474,84,390,189.604842997165,173.844425304251
"572",502,81,421,192.988592027574,182.718433059646
"573",487,87,400,206.253694419268,169.208847345018
"574",484,84,400,201.027569471049,183.633696785468
"575",512,84,428,187.110218203398,176.441071725463
"576",489,91,398,198.402127223382,177.682929015464
"577",478,84,394,191.929492029199,175.932331196253
"578",483,80,403,204.998365291164,175.978542531034
"579",484,83,401,190.306398117218,179.363190380481
"580",493,95,398,205.41734967093,175.448362415604
"581",488,89,399,190.786544002302,175.873158799403
"582",490,92,398,206.384183943253,174.528282808817
"583",487,92,395,196.257702435293,180.976306150093
"584",488,89,399,189.768926827888,174.771616462513
"585",490,82,408,185.254371179995,176.528714224317
"586",476,83,393,204.698475640354,182.546617270056
"587",477,73,404,193.667844252833,175.531613971417
"588",464,85,379,196.040639031998,176.676349710654
"589",494,87,407,201.7167293437,178.088695970073
"590",480,83,397,190.377394011735,172.930300545895
"591",488,90,398,179.766151145639,171.748410256978
"592",479,79,400,193.214990871526,169.458106129016
"593",488,90,398,190.98198830426,176.986869353421
"594",491,87,404,190.379279270324,174.312596977986
"595",477,77,400,176.159897450186,176.597262573541
"596",491,86,405,210.955574663143,177.955919996468
"597",487,82,405,193.43644743397,174.065099692799
"598",482,88,394,192.302976565384,176.550915770182
"599",480,91,389,194.488989199605,178.588492645894
"600",492,96,396,188.165490905624,176.878615536457
"601",496,92,404,190.207829332544,174.159856060298
"602",480,80,400,207.269826851344,171.294895795394
"603",484,89,395,196.118169844681,179.33157517733
"604",471,77,394,198.511843375863,175.406570454762
