"name","x0","y0","z0","pole_easting","pole_northing","pole_up","plane_strike","plane_dip","plane_l1","plane_l2","plane_l3","well_num","stage_num","cluster_num"
"W8_S7_HF_C1",3432.12065686699,3115.18677240983,-2377.41103198553,-0.145184397943278,0.913211973967319,-0.279620886458766,1.41313367077601,1.28739710479496,2077.16617733082,682.886896307625,180.382165909251,8,7,1
"W8_S7_HF_C2",3495.37722356362,3157.78117338494,-2485.05628190551,0.0770116056386387,0.60456068026619,-0.732558444581809,1.6974983551458,0.748723411572343,92.7342123411275,46.2278348708849,12.8547744574502,8,7,2
"W8_S7_OUT_C1",4150.92444958226,3225.20097445018,-2347.56461309705,0.0264509405959799,0.346157358936714,-0.892222779555481,1.64706117449618,0.468552781838921,9804.24163618905,2438.64387867379,670.855229531222,8,7,1
"W8_S7_OUT_C2",4624.53230304784,3575.44516368486,-2327.15332693916,0.509202934598075,-0.799722711982404,-0.0703648289037366,4.1454030521134,1.50037330297277,182.416302511229,33.6025801677246,8.65151307081454,8,7,2
"W8_S10_HF_C1",3255.88319131953,2875.46827604252,-2470.67,0.163180825917222,-0.951455171894381,-0.252081472362057,4.54253492244549,1.31596573763657,806.651667635276,198.788091742517,39.5316680773142,8,10,1
"W8_S10_OUT_C1",4093.00007602107,3037.86188352921,-2325.52209812605,0.560122474385918,-0.811748766649932,-0.132189693490105,4.10839279485577,1.43821859119579,172.531654847681,15.3375127166451,3.29623039114343,8,10,1
"W8_S10_OUT_C2",4106.20260245697,3043.49415817992,-2304.4537436831,0.304513880587067,-0.751243190558489,-0.407912091770742,4.32728197122451,1.15063024841129,129.168367592146,23.2954356938084,2.84068293890585,8,10,2
"W8_S10_OUT_C3",4132.97515058406,2910.50475498852,-2185.34225188722,0.532114989872107,-0.6537571388423,-0.25507830290039,4.02920941672645,1.31286764270862,170.034736933867,109.619811330067,13.6075888817361,8,10,3
"W8_S10_OUT_C4",4347.61452728242,3083.13710987856,-2300.41552624581,-0.743453061375017,0.606967390832364,0.0802312127754747,3.82626384210729,1.49047878837322,1982.75151906374,200.748041567862,9.21913713959692,8,10,4
"W8_S10_OUT_C5",4174.14039416657,2922.62481319374,-2160.0710487089,-0.455942050362565,0.77745890396423,-0.196314087049207,1.04039842264486,1.37319889073683,132.547855265794,19.7060436923904,10.9014781593147,8,10,5
"W8_S10_OUT_C6",4489.75411038725,3037.90222428904,-2306.7990763223,-0.716165574771027,-0.371471614701466,-0.419567452706698,5.80469367622705,1.13782757766392,527.411292577283,133.018911082397,26.2248349245743,8,10,6
"W8_S10_OUT_C7",4655.1255492887,3608.74882226045,-2336.76438140028,0.411658662315184,-0.750542281591006,-0.0812283547080487,4.2107122434221,1.48947838109313,281.676215442263,118.352017832202,9.98017664989128,8,10,7
"W8_S10_OUT_C8",4260.39252986577,2965.1612903479,-2259.78044595734,0.52054930138388,-0.420653001507392,-0.728032815073435,3.8212497847877,0.755348296931513,9310.88352113621,767.119079064341,275.806974238178,8,10,8
"W8_S10_OUT_C9",4006.01898382475,2976.70213225377,-2342.10952976252,0.896903027969295,-0.302824875992793,0.0890409035790205,0.325616066707186,1.48163734454999,80.2359065109849,5.90843359078211,2.72203956207856,8,10,9
"W8_S14_HF_C1",2869.42732185106,2382.86007611072,-2465.15195569464,-0.149808025258421,0.480565782623875,-0.856862992021116,1.2686107287727,0.541642624898053,1216.13827211603,358.073849640556,276.720565916694,8,14,1
"W8_S14_HF_C2",2698.20661898284,2432.92256937884,-2458.92939974922,0.721362232779979,0.610158277847654,-0.106849188537054,2.43951763933172,1.46374277485308,150.352026739967,73.2569412818158,37.9138304898186,8,14,2
"W8_S14_OUT_C1",4000.58310810931,2871.22701028525,-2302.90666666667,0.777527894440712,-0.542869212765519,-0.0325495927453993,3.75110888260621,1.5382409837222,4539.06592538428,297.288828982005,14.1545167336391,8,14,1
"W8_S5_HF_C1",3771.03320961877,3232.77638233594,-2330.82243703226,0.715111069208056,-0.662184380237126,-0.0501233283827413,3.88858173083694,1.52065198677426,1425.91182861755,291.715324549684,277.774117299319,8,5,1
"W8_S5_HF_C2",3903.5756376532,3397.47945981298,-2459.1449065997,-0.125592429768702,0.932179366127024,-0.339288545229924,1.43687287704476,1.2246358502891,395.309630887484,57.9713567863257,14.5170325805543,8,5,2
"W8_S5_HF_C3",3337.07196237142,3230.95364110964,-2450.83271926333,-0.343827411216409,-0.293364443902248,-0.891339002283537,5.57681806851588,0.470506024980033,115.984819038654,91.5361010476176,5.96169499510526,8,5,3
"W8_S5_OUT_C1",4609.6275861774,3637.72491040646,-2271.70606000436,-0.741222253931343,-0.452023011744363,-0.391148029719132,5.73556581305163,1.16891765030017,76.3954408769845,3.88024393528596,1.37130018116737,8,5,1
"W8_S5_OUT_C2",4301.37165570654,3378.7764681736,-2194.68363371709,0.137849954752869,0.326577460714189,-0.872787080741285,1.9702122668666,0.509912784925738,2662.33362338232,612.728607029792,53.6543146334511,8,5,2
"W8_S5_OUT_C3",3868.39309013263,3714.53072521257,-2165.85800143245,-0.185958290812856,0.919117559985718,0.264755939805835,4.51276111404942,1.30284550492705,148.096044076062,14.7427039957333,0.364977850556264,8,5,3
"W8_S5_OUT_C4",4661.71940437605,3495.96634315104,-2305.45773561295,-0.557521500413385,-0.0645910459459252,-0.825716301687957,6.16784559746368,0.599325458867652,299.595090809755,137.765564395043,4.21518451700461,8,5,4
