"","X","semb","ux","uy","uz","well","stage","mw","m0","mti_strike","mti_dip","mti_rake","mdc","mclvd","mvol","date_time","x_coord","y_coord","z_coord","class_well","class_stage","bool"
"154",7276,0.209479,4.65587,2.86503,47.4828,3,2,-1.228026294,14386679.18,280.209,77.215,-147.581,0.131706,0.671772,0.196522,5.764926273,1550.508394,864.8790866,-2434.44,3,2,0
"155",7441,0.188832,4.04847,3.09774,21.8534,3,2,-1.239154063,13844233.18,277.146,89.4213,-148.854,0.181762,0.735273,0.0829644,5.875277106,1424.777738,811.004621,-2404.09,3,2,0
"156",7470,0.292468,3.18221,2.73145,24.0121,3,2,-1.241001182,13756191.94,52.5041,73.3007,-78.7522,0.568953,0.18751,0.243536,5.755160903,1754.904681,792.0046618,-2435.4,3,2,0
"157",7526,0.251764,2.63751,2.06683,19.7679,3,2,-1.245145938,13560668.3,53.5972,65.4729,90.106,0.680987,0.0868536,-0.232159,5.690324884,1606.058703,492.5449399,-2419.9,3,2,0
"158",7576,0.192126,4.29693,3.28909,35.7396,3,2,-1.248750073,13392908.15,61.9956,71.7442,87.2334,0.483878,-0.202594,-0.313527,5.729747199,1754.176361,797.6827292,-2343.45,3,2,0
"159",7626,0.240019,4.76776,3.98471,29.3898,3,2,-1.252083899,13239578.27,49.7634,67.617,-109.564,0.272924,-0.625367,0.101709,5.712854144,1634.632888,526.9032584,-2335.09,3,2,0
"160",7680,0.139264,4.77109,3.78557,21.7489,3,2,-1.256453913,13041247.3,60.6749,66.8173,88.0449,0.281428,0.578489,-0.140083,5.797171597,1697.961372,989.6622203,-2411.93,3,2,0
"161",7700,0.348312,2.35819,1.80351,26.2997,3,2,-1.258210929,12962345.9,50.3126,77.1337,-93.6469,0.826068,-0.0465723,0.12736,5.67046081,1664.70614,867.3539604,-2430.22,3,2,0
"162",7753,0.156352,1.26757,1.21206,2.63794,3,2,-1.261319496,12823918.7,61.648,68.8658,-85.9665,0.69294,0.0374608,0.2696,5.756966782,1842.720272,853.3886015,-2398.95,3,2,0
"163",7763,0.171561,5.18285,4.45767,33.388,3,2,-1.261724961,12805972.31,39.0208,64.781,66.075,0.071955,0.821047,-0.106998,5.844779282,1532.653948,803.5375734,-2422.84,3,2,0
"164",7816,0.233143,3.79134,2.70111,19.0606,3,2,-1.26623013,12608249.81,70.1827,76.5862,-53.9068,0.44547,-0.475109,0.0794209,5.795001875,1748.017461,997.5888873,-2414.7,3,2,0
"165",7923,0.131819,4.74398,3.84376,42.0756,3,2,-1.274880056,12237139.64,35.5902,88.931,40.9472,0.206311,0.735372,-0.0583171,5.766216412,1648.994227,1127.017713,-2318.93,3,2,0
"166",8027,0.154254,2.44418,1.99202,7.08211,3,2,-1.281142241,11975306.52,258.402,88.8417,44.0112,0.337287,-0.474522,-0.188191,5.748196296,1852.025797,1809.990939,-2248.98,3,2,1
"167",8044,0.176424,3.72948,3.16308,20.5072,3,2,-1.28244874,11921389.84,61.1337,74.1141,-114.915,0.523894,0.198979,0.277126,5.809063981,1718.693742,785.7891932,-2389.4,3,2,0
"168",8071,0.16146,5.68225,3.51021,15.533,3,2,-1.284521118,11836364.29,70.9293,65.0672,115.807,0.594784,0.141775,-0.263441,5.709719861,1792.869244,476.8542405,-2402.36,3,2,0
"169",8393,0.158463,4.86209,4.14782,26.2406,3,2,-1.304208708,11058263.6,54.5154,68.7047,-82.3135,0.517235,-0.299365,0.1834,5.706404676,1912.815767,974.2119372,-2419.66,3,2,0
"170",8473,0.102603,6.16916,5.19682,52.1619,3,2,-1.30826336,10904479.99,75.1442,72.2446,-72.4803,0.307675,-0.537225,0.1551,5.894511597,1704.282906,908.3873669,-2433.93,3,2,0
"171",8586,0.10267,7.19584,4.49809,82.0567,3,2,-1.315201321,10646283.3,60.9615,65.0546,93.3406,0.410621,0.334681,-0.254698,5.701896991,2002.285988,1080.610295,-2487.45,3,2,0
"172",8591,0.229389,2.72906,3.57912,58.0539,3,2,-1.315336476,10641314.68,54.2048,67.5693,-90.9079,0.225082,-0.653859,0.12106,5.780755278,1607.762831,1026.120646,-2319.45,3,2,0
"173",8640,0.204175,4.0682,3.01529,28.2647,3,2,-1.31835494,10530950.95,50.3569,66.9862,-74.5644,0.627341,-0.138163,0.234497,5.860814537,1563.434306,765.6861474,-2363.52,3,2,0
"174",8792,0.130302,6.07189,5.16139,34.1579,3,2,-1.326554348,10236900.4,59.965,68.4405,-71.8734,0.664579,-0.0870001,0.248421,5.795213218,2233.969525,1111.263373,-2521.48,3,2,1
"175",8872,0.30392,2.74994,1.8285,37.3513,3,2,-1.331329827,10069438.63,59.2806,78.1422,103.132,0.760084,0.18895,-0.0509663,5.778607245,1975.47957,1105.295392,-2485.4,3,2,0
"176",8880,0.116341,7.50767,4.73408,35.662,3,2,-1.331960551,10047526.81,70.2975,68.5828,114.637,0.305901,0.528583,-0.165516,5.811158819,1754.176361,794.1471953,-2447.08,3,2,0
"177",8890,0.326756,2.75798,2.34234,27.4724,3,2,-1.332771482,10019424.5,77.9401,73.836,61.6001,0.356595,-0.435477,-0.207928,5.79074787,1676.769381,927.4156104,-2382.32,3,2,0
"178",8962,0.200137,3.92949,2.3756,20.2904,3,2,-1.337501909,9857054.02,59.0752,74.8097,-77.3566,0.765793,-0.0472551,0.186952,5.845059005,1707.068907,788.9287473,-2445.61,3,2,0
"179",8992,0.297135,2.85003,1.88893,20.4043,3,2,-1.339619339,9785228.95,55.8919,83.3225,-82.9127,0.321085,0.471054,0.207861,5.774536713,2094.669489,1113.384694,-2483.63,3,2,1
"180",9159,0.115237,6.26645,22.1669,51.8497,3,2,-1.34921535,9466228.32,208.611,85.3537,145.488,0.15678,-0.823117,-0.0201033,5.871619074,1467.140505,1027.442936,-2417.45,3,2,0
"181",9196,0.184504,4.88192,3.93236,25.94,3,2,-1.351287728,9398713.43,52.3309,70.4228,-100.94,0.238696,-0.695061,0.0662432,5.804369699,1493.543872,786.079107,-2444.39,3,2,0
"182",9266,0.238608,4.61314,3.45769,18.6876,3,2,-1.355387432,9266566.61,67.554,71.5582,-98.697,0.277411,0.395259,0.327329,5.860908148,1389.026419,829.0782703,-2435.02,3,2,0
"183",9283,0.200146,4.30514,3.04682,20.0239,3,2,-1.356603827,9227716.84,50.7925,71.7919,74.3161,0.362243,0.621403,-0.0163538,5.766075301,1795.209767,703.6163141,-2399.24,3,2,0
"184",9316,0.155166,4.09631,3.48769,32.7496,3,2,-1.35854105,9166180.92,72.8452,70.7219,-74.2249,0.211055,-0.672517,0.116428,5.73212963,1565.583911,1033.651333,-2366.65,3,2,0
"185",9359,0.216772,1.4528,1.35919,3.03523,3,2,-1.36092879,9090898.63,54.7133,66.4529,-90.53,0.142033,-0.816018,-0.0419487,5.691403356,1367.240459,680.451496,-2432.27,3,2,0
"186",9466,0.154897,5.50161,3.42391,33.8767,3,2,-1.366109735,8929669.75,59.1293,66.9386,-88.0257,0.241238,-0.617366,0.141396,5.798166852,1682.45452,991.0269364,-2417.33,3,2,0
"187",9495,0.262625,3.08781,2.62666,19.2729,3,2,-1.368227164,8864602.25,56.5033,73.1354,86.6397,0.798202,0.0288185,-0.172979,5.730243935,1694.800604,997.7727351,-2352.44,3,2,0
"188",9729,0.156797,5.5582,4.08417,29.3165,3,2,-1.380526277,8495923.33,46.9614,72.0368,112.528,0.412359,-0.325527,-0.262114,5.795661343,1735.240041,993.3957441,-2423.65,3,2,0
"189",9773,0.145562,4.44578,3.66677,18.1256,3,2,-1.38300412,8423524.05,61.0552,73.0263,-82.1575,0.622186,-0.192412,0.185402,5.771787338,2118.357566,1096.060578,-2524.91,3,2,1
"190",9795,0.174226,0.919159,1.29293,2.04788,3,2,-1.384175464,8389514.02,66.8768,67.4273,95.1581,0.26975,0.670527,-0.0597233,5.828181574,1694.630899,937.8383643,-2449.82,3,2,0
"191",9823,0.193697,4.05139,3.22773,15.7952,3,2,-1.38566217,8346545.11,58.1374,78.0426,59.9077,0.555362,0.38297,-0.0616677,5.722519398,1513.455999,1061.030508,-2384.26,3,2,0
"192",9917,0.266035,4.35552,5.61407,25.6084,3,2,-1.390347546,8212562.37,64.6218,79.4206,116.86,0.629496,0.320698,-0.049806,5.778714537,1952.343036,1114.289791,-2403.18,3,2,0
"193",9926,0.121012,8.27232,5.01948,61.56,3,2,-1.390707959,8202345.55,263.308,87.927,-148.913,0.41141,0.553807,0.0347827,5.757694676,1620.667529,940.3839487,-2351.1,3,2,0
"194",10084,0.262086,3.23196,2.69474,12.3149,3,2,-1.399673246,7952251.94,57.6262,73.7175,74.7991,0.722099,-0.111375,-0.166526,5.804004144,1898.673631,1166.544982,-2188.83,3,2,1
"195",10091,0.243088,4.82236,3.62849,17.716,3,2,-1.400258918,7936182.07,63.403,70.1542,-113.249,0.636345,0.158701,0.204954,5.72805331,1594.879345,497.3603371,-2380.9,3,2,0
"196",10227,0.154649,4.01101,3.10249,13.0264,3,2,-1.407962758,7727799.81,48.6067,64.9966,-76.9655,0.651134,-0.136403,0.212463,5.70446662,1769.075101,1050.777459,-2411.64,3,2,0
"197",10280,0.113213,5.15567,3.76311,24.7858,3,2,-1.410620808,7657178.8,283.636,77.2321,17.2454,0.475773,-0.437923,-0.0863039,5.876950023,1707.578024,902.970929,-2429.48,3,2,0
"198",10448,0.107189,7.06901,4.74547,23.3802,3,2,-1.41945094,7427173.86,68.8193,67.1241,-56.252,0.29367,-0.616245,0.0900844,5.69139456,1578.707813,485.9547047,-2497.73,3,2,0
"199",10459,0.256211,2.25154,1.3921,8.31645,3,2,-1.41999156,7413318.51,66.6568,75.7412,123.43,0.337899,0.598498,0.063603,5.748245648,1792.296487,1719.813612,-2116.94,3,2,1
"200",10552,0.131191,4.84221,4.00453,16.3557,3,2,-1.424947246,7287509.45,52.9092,67.9881,-101.655,0.334757,-0.496078,0.169165,5.803281019,1699.000818,986.501453,-2414.48,3,2,0
"201",10606,0.323306,1.68578,1.32147,6.85066,3,2,-1.428055813,7209684.84,56.6227,76.4677,-90.9808,0.474948,-0.519838,0.00521443,5.800373958,1695.005665,976.3544707,-2411.98,3,2,0
"202",10610,0.282014,2.81305,2.18638,5.50158,3,2,-1.428281072,7204077.76,62.8851,79.8754,100.289,0.752344,0.219246,0.0284099,5.780021065,1928.499395,1014.389744,-2390.01,3,2,0
