"","X","semb","ux","uy","uz","well","stage","mw","m0","mti_strike","mti_dip","mti_rake","mdc","mclvd","mvol","date_time","x_coord","y_coord","z_coord","class_well","class_stage","bool"
"39",1135,0.192295,3.25723,3.05713,17.7152,3,2,-0.241123899,434824645.4,250.148,46.6106,87.9394,0.0609519,-0.292442,-0.646607,5.683483171,2088.220675,568.2902183,-2248.85,3,2,0
"40",1152,0.121909,0.769378,0.791634,1.4888,3,2,-0.247926705,424727070.8,268.605,52.181,-96.282,0.383425,-0.0741429,0.542432,5.699607593,2016.13821,1793.663844,-2224.23,3,2,1
"41",1177,0.176962,1.11154,0.778645,3.12539,3,2,-0.255720648,413446222.2,269.788,53.1501,81.6523,0.364227,0.0925212,-0.543251,5.71308978,2005.623532,1813.37091,-2218.9,3,2,1
"42",1194,0.169656,3.30762,4.39298,21.2485,3,2,-0.264280469,401401782.3,272.47,52.5043,85.2289,0.410349,0.0389783,-0.550672,5.645836319,2103.246694,1865.654385,-2321.6,3,2,1
"43",1228,0.114861,7.04635,4.88396,23.6411,3,2,-0.279778252,380480691.3,125.065,88.9523,1.40654,0.821704,-0.120979,0.0573168,5.74688412,1880.246429,1754.193143,-2183.78,3,2,1
"44",1235,0.145252,3.05055,5.22317,76.0377,3,2,-0.282030837,377531978.9,270.665,53.285,-93.3502,0.365948,-0.0945632,0.539488,5.660751759,2099.202043,1888.790919,-2330.71,3,2,1
"45",1267,0.117847,7.38013,7.24067,15.449,4,3,-0.295276034,360650010.4,219.168,45.9316,-86.7868,0.253876,0.175459,0.570665,6.028803194,2462.499365,664.9446443,-2324.88,3,2,1
"46",1309,0.174776,2.08114,4.59282,9.2373,3,2,-0.311629799,340843723.9,268.997,52.7995,81.3092,0.344257,0.121498,-0.534245,5.651100856,2027.169076,1817.988317,-2223.45,3,2,1
"47",1390,0.145863,2.87492,7.49153,6.54397,3,2,-0.350103945,298431101.9,275.833,51.6845,-92.5051,0.305912,0.103785,0.590303,5.967648102,1817.130077,1810.238427,-2218.82,3,2,1
"48",1394,0.194209,1.64308,0.910467,3.72307,3,2,-0.350689617,297828033.9,270.476,53.4114,86.3794,0.367675,-0.0526006,-0.579725,5.674683611,2086.891314,1838.169145,-2218.93,3,2,1
"49",1399,0.166621,2.14195,2.6049,8.66769,3,2,-0.352491685,295980072.7,270.48,53.1088,81.1166,0.326559,0.157919,-0.515521,5.662133819,2081.920354,1831.826397,-2248.79,3,2,1
"50",1403,0.159797,2.17275,1.05499,8.92476,3,2,-0.353527874,294922691.7,256.643,54.4474,88.4638,0.316741,-0.0964852,-0.586774,5.822172269,1945.342679,1799.405551,-2248.8,3,2,1
"51",1489,0.173364,9.27877,1.76963,24.233,3,2,-0.390470263,259593973.2,272.788,54.0578,81.117,0.396972,0.0629576,-0.54007,5.735994722,2007.320588,1826.523096,-2248.77,3,2,1
"52",1550,0.190576,2.52318,2.03662,16.462,3,2,-0.411194042,241662318.1,274.627,54.1933,77.3547,0.314949,0.160985,-0.524065,5.658317708,2011.386452,1813.264844,-2249.09,3,2,1
"53",1808,0.110795,6.54326,4.20305,27.0045,3,2,-0.491160797,183340666,254.942,50.6168,-83.9989,0.376183,-0.0939088,0.529908,5.872310625,1833.308681,1884.569492,-2391.67,3,2,1
"54",1848,0.161506,3.24075,1.17026,5.41382,3,2,-0.503685168,175578869.3,275.539,51.0038,-97.736,0.326582,-0.136703,0.536715,5.66138331,2041.968821,1823.694669,-2233.97,3,2,1
"55",1881,0.170026,3.18571,2.43142,39.0494,3,2,-0.511614266,170835688,255.657,50.969,87.7134,0.392511,-0.0571463,-0.550343,5.685242824,2088.376239,1821.834978,-2205.45,3,2,1
"56",1970,0.152583,4.64812,2.72886,17.6208,3,2,-0.5324732,158960858.7,95.3134,46.6152,-97.035,0.238942,0.150644,0.610415,5.844547546,2853.642553,1324.562134,-2362.9,3,2,1
"57",2046,0.260287,2.35529,1.8898,18.5931,3,2,-0.55216079,148511065.9,227.339,47.24,90.7871,0.405357,0.0614526,-0.533191,5.731427917,1582.681753,1022.917452,-2364.35,3,2,0
"58",2107,0.377433,2.66255,2.14144,5.4741,3,2,-0.565225781,141958476.1,67.2926,63.5669,-69.3694,0.330755,-0.546247,0.122998,5.70442412,1709.80541,484.2576485,-2394.79,3,2,0
"59",2136,0.12446,4.66535,17.0426,11.6684,3,2,-0.571758277,138791408.9,266.873,55.2628,-98.4591,0.348298,-0.0908701,0.560832,5.662018681,2066.031664,1837.815591,-2290.5,3,2,1
"60",2169,0.115884,17.2672,8.93754,74.5274,3,2,-0.578921496,135399716.8,83.2344,51.2865,-96.2269,0.366033,0.0530921,0.580875,5.902761759,2865.769434,1366.882475,-2329.18,3,2,1
"61",2229,0.120536,5.51401,3.99372,17.959,3,2,-0.595365364,127923977.4,240.756,49.2653,90.3427,0.40114,-0.0411231,-0.557737,5.885246806,1724.944566,1198.85269,-2218.88,3,2,0
"62",2245,0.150338,3.17436,2.362,14.7371,3,2,-0.598023414,126754935.6,330.677,49.1802,-98.7366,0.392968,-0.0638939,0.543138,5.88287375,2546.666286,975.343308,-2312.9,3,2,1
"63",2296,0.414117,1.80071,1.30551,5.09756,3,2,-0.609106131,121994655.1,63.182,62.5215,-70.9672,0.322448,-0.527566,0.149986,5.677727199,1708.306344,476.5643267,-2419.78,3,2,0
"64",2312,0.334987,1.94539,1.61928,13.0867,3,2,-0.61334099,120223264.1,57.8388,66.5798,-107.689,0.713866,-0.0491244,0.23701,5.665884236,1590.551851,491.0812289,-2405.56,3,2,0
"65",2313,0.096594,5.10959,4.6389,20.413,3,2,-0.614242024,119849703.5,26.9387,77.8453,17.7427,0.239043,0.602329,-0.158629,5.653329653,1693.322751,654.8895858,-2354.86,3,2,0
"66",2604,0.321716,2.07407,1.65102,8.76569,3,2,-0.67321469,97763775.49,252.597,52.3492,92.3555,0.162955,-0.159422,-0.677622,5.653130949,1703.222246,408.816426,-2316.4,3,2,0
"67",2693,0.115825,4.709,5.54235,16.7782,3,2,-0.687991646,92899319.13,264.368,49.0421,89.8422,0.314594,-0.0799965,-0.605409,5.879018588,1533.912598,906.2236201,-2479.75,3,2,0
"68",2786,0.326788,1.46851,1.18413,7.52761,3,2,-0.707904494,86724790.42,52.8896,70.0888,-104.391,0.420187,-0.456047,0.123767,5.712914606,1556.009685,505.1172985,-2399.27,3,2,0
"69",2820,0.373451,1.3963,1.13848,10.0438,3,2,-0.713716163,85001336.73,62.9911,72.8832,77.5215,0.577777,0.277521,-0.144703,5.75582588,1583.615134,1081.381041,-2423.42,3,2,0
"70",2938,0.280645,2.77869,2.17004,21.6291,3,2,-0.732502719,79661030.74,98.6946,87.7635,-24.6709,0.0806181,-0.891481,0.0279008,5.713720046,1622.548433,485.9547047,-2428.15,3,2,0
"71",2958,0.278037,0.959572,0.658321,4.17992,3,2,-0.735160769,78933043.11,280.447,74.8327,-149.398,0.43643,0.284674,0.278896,5.680758889,1683.38083,1676.701311,-2128.77,3,2,1
"72",2963,0.330805,2.65545,2.16915,27.6221,3,2,-0.736061803,78687780.48,63.1757,71.4,-112.234,0.625373,-0.199988,0.174639,5.696300972,1650.719567,1075.794897,-2437.7,3,2,0
"73",3034,0.131793,4.78847,3.23581,20.902,3,2,-0.749532259,75110665.77,44.1144,56.325,100.196,0.53555,0.177295,-0.287154,5.648729931,1711.042847,674.6461493,-2360.03,3,2,0
"74",3035,0.216457,3.55948,3.58199,27.5066,3,2,-0.749577311,75098979.15,235.285,49.3265,82.9196,0.34232,0.118701,-0.538979,5.870481435,1511.638735,787.0761275,-2433.14,3,2,0
"75",3187,0.099154,6.13351,4.97874,29.6577,3,2,-0.772283364,69434442.69,93.3181,46.701,93.4072,0.280857,-0.116686,-0.602457,5.725039537,1537.603696,1061.631549,-2437.7,3,2,0
"76",3250,0.158554,4.20806,3.80561,19.8683,3,2,-0.783636391,66764471.19,235.757,46.0189,92.0584,0.179751,-0.197066,-0.623182,5.765056898,1890.117639,1042.164899,-2449.58,3,2,0
"77",3272,0.099095,5.08685,4.89364,23.0597,3,2,-0.788186612,65723409.04,75.4852,46.3616,91.7346,0.344689,-0.0932333,-0.562078,5.731381458,1695.224868,841.0778724,-2240.18,3,2,0
"78",3357,0.199958,2.56207,2.37964,22.9268,3,2,-0.804315118,62162335.5,292.547,53.4504,92.7268,0.261327,0.0803494,-0.658323,5.648508426,1702.338363,423.8424451,-2368.15,3,2,0
"79",3368,0.30791,0.961255,0.87893,2.41231,3,2,-0.805936979,61815093.64,92.2353,84.4162,-31.0833,0.0931142,-0.882765,0.0241206,5.713195648,1645.458693,492.0358231,-2398.98,3,2,0
"80",3501,0.191778,4.05349,3.30197,35.6339,3,2,-0.828057361,57268256.11,213.66,47.6898,84.8899,0.2996,-0.0821931,-0.618207,5.770373171,1732.899518,706.5295941,-2408.34,3,2,0
"81",3522,0.196364,4.40381,3.10558,33.6559,3,2,-0.829949532,56895209.64,260.983,50.4361,87.0526,0.388193,0.0394165,-0.57239,5.778240139,1881.172739,1026.361062,-2403.41,3,2,0
"82",3581,0.320171,3.11256,2.60422,20.9101,3,2,-0.837743475,55384059.8,56.6413,67.5438,71.1775,0.439019,0.449461,-0.11152,5.675146389,1566.460723,498.2017942,-2401.97,3,2,0
"83",3656,0.124289,5.55245,4.52282,30.263,3,2,-0.851168879,52874549.67,81.5462,45.5525,97.8353,0.127183,0.349568,-0.523249,5.700786343,1692.990411,491.8802596,-2450.28,3,2,0
"84",3691,0.247611,1.24882,0.890051,2.66507,4,3,-0.858287047,51590463.48,278.718,72.1144,30.9256,0.355272,-0.362359,-0.282369,6.037883611,1764.542546,1719.283281,-2143.46,3,2,1
"85",3841,0.164625,5.55302,4.51439,39.4098,3,2,-0.882885271,47388405.22,76.2704,61.6752,66.9489,0.290054,-0.343597,-0.366349,5.689468241,1638.677539,485.3819483,-2421.45,3,2,0
"86",3963,0.157889,4.86453,3.32338,17.6467,3,2,-0.900230173,44632862.46,56.6554,61.495,-99.5717,0.331967,-0.510324,0.157709,5.714283333,1624.401053,469.9599494,-2445.86,3,2,0
"87",3966,0.238318,0.302841,0.280685,0.602022,3,2,-0.900455432,44598150.83,81.2163,82.3411,-47.9307,0.0853609,-0.85645,-0.0581891,5.78524794,1827.80739,1741.578358,-2164.5,3,2,1
"88",4006,0.085052,7.93719,6.37767,54.5068,3,2,-0.904870498,43923228.33,265.586,45.163,95.9423,0.332323,-0.0711299,-0.596547,5.888941389,2880.555037,1340.783164,-2391.98,3,2,1
"89",4016,0.151116,5.74106,5.22165,31.1386,3,2,-0.90599679,43752695.6,69.303,45.9365,95.8246,0.138162,-0.1908,-0.671038,5.688668125,1680.022072,968.7106464,-2364.75,3,2,0
"90",4043,0.231135,0.343584,0.323795,1.66252,3,2,-0.909240512,43265251.44,270.116,80.8986,-147.427,0.152775,0.704139,0.143085,5.761173657,1838.300854,1744.519922,-2146.95,3,2,1
"91",4155,0.223298,1.25762,1.17633,2.90121,3,2,-0.923882312,41131687.92,262.554,79.4516,-146.462,0.465357,0.309756,0.224887,5.963033912,1821.203012,1731.91928,-2188.89,3,2,1
"92",4173,0.242596,1.04756,0.794456,3.71812,3,2,-0.925999742,40831975.02,266.834,82.6746,32.5341,0.232623,-0.602445,-0.164932,5.695984769,1753.292477,1715.684108,-2129.24,3,2,1
"93",4177,0.315381,0.161685,0.16003,4.45186,3,2,-0.926495311,40762145.37,266.599,86.1292,33.4009,0.116001,-0.808552,-0.075447,5.815343819,1708.235633,1684.37342,-2111.21,3,2,1
"94",4268,0.282148,1.84279,1.45333,16.2018,3,2,-0.93978556,38933339.78,53.5362,74.233,71.5347,0.419469,0.442683,-0.137848,5.877019352,1501.788737,1027.442936,-2451.45,3,2,0
"95",4338,0.094161,8.13876,5.9207,56.7157,3,2,-0.951408897,37401296.28,61.4284,61.1652,-71.7193,0.490311,-0.293079,0.21661,5.885502292,2850.283795,1406.409744,-2310.85,3,2,1
"96",4346,0.288481,0.893085,0.59621,2.36276,3,2,-0.952445086,37267681.14,266.631,81.0282,33.1643,0.315609,-0.47534,-0.209051,5.765159352,1713.432868,1684.833039,-2098.97,3,2,1
"97",4504,0.223048,2.82689,2.30243,15.2616,3,2,-0.970285557,35040610.53,58.3344,71.5753,-123.824,0.657009,0.129463,0.213528,5.871773449,1455.360106,1025.081199,-2464.87,3,2,0
"98",4568,0.287798,3.57693,2.57979,30.6035,3,2,-0.977674034,34157725.88,48.7909,66.1515,82.9867,0.643852,-0.118906,-0.237242,5.730364236,1659.183636,486.7961618,-2402.04,3,2,0
"99",4628,0.152532,1.11227,1.04831,6.04955,3,2,-0.985783339,33214291.4,273.652,82.0549,-146.783,0.265195,0.561806,0.172999,5.824861991,1798.193758,1802.304689,-2248.69,3,2,1
"100",4761,0.112802,7.36621,5.3884,62.007,3,2,-1.00096576,31517470.86,242.207,46.799,-98.328,0.425704,-0.0274307,0.546866,5.721858588,1624.068713,427.1587759,-2300.46,3,2,0
"101",4806,0.187773,2.31976,1.7451,9.09948,3,2,-1.004029275,31185742.42,250.184,87.5901,-142.617,0.488158,0.253713,0.258128,5.69804044,2078.695947,1837.879231,-2260.89,3,2,1
"102",4874,0.210892,1.37106,1.14167,7.25278,3,2,-1.012544045,30281956.59,262.772,78.6283,-141.393,0.375498,0.339169,0.285333,5.728242407,1784.475886,1737.533707,-2191.45,3,2,1
"103",4882,0.293859,1.9771,2.00056,30.7092,3,2,-1.013354975,30197259.94,59.2897,68.4701,-90.8393,0.451559,-0.39019,0.158251,5.776900417,1757.358341,1121.184082,-2319.45,3,2,0
"104",4911,0.182637,1.85089,1.6058,6.96686,3,2,-1.016553646,29865482.19,256.763,89.2364,-144.334,0.420724,0.369055,0.210221,5.650655764,2042.569861,1818.143881,-2249.01,3,2,1
"105",4916,0.249021,1.14659,0.829766,2.3273,3,2,-1.01745468,29772683.45,278.274,81.5108,34.3717,0.272925,-0.476602,-0.250473,5.687704954,1786.370932,1727.15338,-2146.9,3,2,1
"106",4931,0.247485,1.0862,0.756292,3.08336,3,2,-1.019527057,29560339.29,74.2937,81.3894,126.04,0.166993,0.75882,0.0741868,5.733519583,1832.537934,1736.847814,-2128.9,3,2,1
"107",4932,0.228101,6.90237,1.4295,7.1968,3,2,-1.019527057,29560339.29,246.819,48.9369,-86.9724,0.0792203,0.238299,0.682481,5.808257454,2023.145638,1740.694475,-2158.63,3,2,1
"108",5051,0.135989,5.52845,12.9928,17.4508,3,2,-1.033357927,28181435.38,70.6377,70.7418,-101.181,0.0641181,0.518763,0.417119,5.714529213,1553.782299,504.5162578,-2413.71,3,2,0
"109",5060,0.230804,3.02934,2.07298,8.34112,3,2,-1.035159995,28006575.42,52.2882,64.6362,112.817,0.481367,-0.226219,-0.292414,5.688024907,1788.782167,464.6778617,-2384.05,3,2,0
"110",5120,0.217141,1.57936,1.28576,3.62363,3,2,-1.041917749,27360458.85,257.985,87.3279,51.1046,0.331056,-0.451277,-0.217667,5.747630694,1802.436398,1735.836651,-2159.01,3,2,1
"111",5137,0.247276,0.70853,0.526049,1.58317,3,2,-1.042953938,27262714.34,78.8699,81.3799,-50.1194,0.0871501,-0.815641,-0.0972087,5.791921782,1780.544373,1725.908872,-2158.95,3,2,1
"112",5181,0.217337,0.907224,0.593211,1.73669,3,2,-1.047369004,26850136.26,260.42,87.5509,-137.393,0.309131,0.477724,0.213145,5.738992014,1792.628827,1727.259446,-2158.83,3,2,1
"113",5243,0.305108,0.953395,0.592447,2.991,3,2,-1.053450983,26291994.06,262.336,89.6843,-135.532,0.169097,0.703865,0.127039,5.78571287,1801.665652,1711.85866,-2087.11,3,2,1
"114",5290,0.218005,1.773,1.3629,4.59082,3,2,-1.058676979,25821682.19,79.9405,88.0633,-39.1277,0.33934,-0.582854,-0.0778059,5.92899088,1841.553546,1737.024591,-2200.93,3,2,1
"115",5321,0.2353,1.38574,1.35917,3.4539,3,2,-1.061785546,25545927.84,264.594,82.3511,-145.826,0.319606,0.44865,0.231744,5.749268171,1774.618818,1725.470466,-2138.03,3,2,1
"116",5385,0.14928,1.73074,0.728479,3.61797,3,2,-1.068903713,24925531.66,262.122,87.1639,40.6028,0.344649,-0.467813,-0.187538,5.915985301,1848.115497,1808.244386,-2218.97,3,2,1
"117",5407,0.147807,7.19088,6.14345,52.4797,3,2,-1.07174197,24682380.61,88.5101,63.323,-133.139,0.298902,0.373769,0.327329,5.87206206,1473.256979,953.444211,-2480.37,3,2,0
"118",5453,0.237448,1.03138,0.684501,1.86664,3,2,-1.075706519,24346706.56,267.737,84.1726,40.4207,0.299782,-0.470234,-0.229984,5.702813843,1778.861458,1726.177573,-2158.88,3,2,1
"119",5462,0.273625,3.01959,1.85765,45.2292,3,2,-1.076066933,24316418.01,61.2903,74.3111,-56.6779,0.608033,-0.280432,0.111535,5.77009794,1872.57432,1043.444762,-2420.14,3,2,0
"120",5482,0.14261,2.82069,2.82203,20.5765,3,2,-1.07732838,24210704.67,262.232,78.9658,-143.579,0.385209,0.356071,0.25872,5.790644306,1936.723047,1795.29726,-2253.45,3,2,1
"121",5559,0.205308,3.59848,2.99881,13.1767,3,2,-1.085392633,23545669.87,58.6703,70.4085,-109.117,0.688391,-0.161374,0.150235,5.706592292,1603.45655,476.7623166,-2446.74,3,2,0
"122",5650,0.139818,4.75841,4.47238,25.3741,3,2,-1.092600904,22966702.46,52.4559,70.6507,63.4832,0.318161,0.541621,-0.140218,5.705218889,1504.900007,993.9260742,-2351.33,3,2,0
"123",5660,0.309603,0.7609,0.788511,32.3569,3,2,-1.093862352,22866856.8,64.6344,70.9107,-105.826,0.643936,-0.156588,0.199476,5.757330903,1579.499772,1059.333451,-2415.29,3,2,0
"124",5734,0.144732,5.6627,5.13532,43.6426,3,2,-1.101295881,22287234.29,56.435,73.309,-110.487,0.360491,-0.555254,0.084255,5.693519977,1511.688232,500.6483837,-2420.59,3,2,0
