"","X","semb","ux","uy","uz","well","stage","mw","m0","mti_strike","mit_dip","mti_rake","mdc","mclvd","mvol","date_time","x_coord","y_coord","z_coord"
"4028",4028,0.085052,7.93719,6.37767,54.5068,3,2,-0.904870498,43923228.33,265.586,45.163,95.9423,0.332323,-0.0711299,-0.596547,5.59727472222238,2398.77910012351,1340.7831635917,-2391.98
"4038",4038,0.151116,5.74106,5.22165,31.1386,3,2,-0.90599679,43752695.6,69.303,45.9365,95.8246,0.138162,-0.1908,-0.671038,5.3970014583347,1319.57135944404,968.71064639919,-2364.75
"4054",4054,0.281349,0.154694,0.146561,1.98135,3,2,-0.907663703,43501521.35,266.331,83.8637,-146.665,0.193344,0.644316,0.16234,5.30680877314949,1448.37254583284,1676.81444814719,-2111.12
"4065",4065,0.231135,0.343584,0.323795,1.66252,3,2,-0.909240512,43265251.44,270.116,80.8986,-147.427,0.152775,0.704139,0.143085,5.46950699074125,1568.28538841777,1744.5199224458,-2146.95
"4070",4070,0.167181,4.7289,3.77373,19.0637,3,2,-0.909826184,43177821.24,50.0337,55.5854,104.604,0.15242,0.682237,-0.165343,5.2983190046306,1322.2383149613,500.605957253696,-2518.76
"4118",4118,0.247353,0.831168,0.604219,2.14546,3,2,-0.916403731,42207964.01,272.262,74.9399,-147.958,0.339214,0.39098,0.269806,5.34073337963058,1502.99134085945,1724.19060248669,-2158.99
"4170",4170,0.1396,3.3225,2.76247,10.111,3,2,-0.922936227,41266312.2,62.3728,73.3936,120.164,0.716451,0.0993715,-0.184178,5.32281763888895,1350.39026663412,436.040037063513,-2386.49
"4177",4177,0.223298,1.25762,1.17633,2.90121,3,2,-0.923882312,41131687.92,262.554,79.4516,-146.462,0.465357,0.309756,0.224887,5.67136724537169,1551.84614601285,1731.91927960506,-2188.89
"4195",4195,0.242596,1.04756,0.794456,3.71812,3,2,-0.925999742,40831975.02,266.834,82.6746,32.5341,0.232623,-0.602445,-0.164932,5.40431810185313,1491.50329253226,1715.684107909,-2129.24
"4199",4199,0.315381,0.161685,0.16003,4.45186,3,2,-0.926495311,40762145.37,266.599,86.1292,33.4009,0.116001,-0.808552,-0.075447,5.52367715277882,1448.45952634817,1684.37341963808,-2111.21
"4230",4230,0.105554,5.43382,4.74489,39.4704,3,2,-0.931135635,40114053.33,62.063,46.7144,-86.3997,0.269141,0.131834,0.599025,5.30223851851843,1394.60068837659,995.757480779576,-2405.42
"4291",4291,0.282148,1.84279,1.45333,16.2018,3,2,-0.93978556,38933339.78,53.5362,74.233,71.5347,0.419469,0.442683,-0.137848,5.58535268518384,1176.04083643378,1027.44293564454,-2451.45
"4361",4361,0.094161,8.13876,5.9207,56.7157,3,2,-0.951408897,37401296.28,61.4284,61.1652,-71.7193,0.490311,-0.293079,0.21661,5.59383562500002,2382.55176965314,1406.40974395366,-2310.85
"4369",4369,0.288481,0.893085,0.59621,2.36276,3,2,-0.952445086,37267681.14,266.631,81.0282,33.1643,0.315609,-0.47534,-0.209051,5.47349268518388,1452.96295347291,1684.83303904587,-2098.97
"4473",4473,0.207353,3.63826,2.66817,16.3176,3,2,-0.963347596,35890425.4,67.3464,63.267,-77.6312,0.262623,-0.640168,0.0972091,5.29589300925809,1253.32203435597,489.667015348718,-2471.65
"4505",4505,0.250353,1.21177,0.89061,2.84198,3,2,-0.966861628,35457454.8,283.936,76.8611,24.4491,0.246193,-0.512933,-0.240875,5.37158997685269,1473.20958403327,1714.24161007539,-2188.85
"4508",4508,0.289066,0.229406,0.226989,4.54889,3,2,-0.967131938,35424366.55,262.622,82.8257,38.3881,0.347288,-0.416366,-0.236347,5.32312997685262,1448.07597295758,1684.06229265435,-2099.66
"4527",4527,0.223048,2.82689,2.30243,15.2616,3,2,-0.970285557,35040610.53,58.3344,71.5753,-123.824,0.657009,0.129463,0.213528,5.58010678240822,1136.06565248285,1025.08119899536,-2464.87
"4591",4591,0.210014,3.14257,2.21918,15.7606,3,2,-0.977448776,34184311.4,62.1599,67.7704,-85.9019,0.403317,0.274557,0.322126,5.30400240740842,1262.28282079359,473.580336076725,-2405.11
"4592",4592,0.287798,3.57693,2.57979,30.6035,3,2,-0.977674034,34157725.88,48.7909,66.1515,82.9867,0.643852,-0.118906,-0.237242,5.43869756944478,1231.20989873223,486.796161817103,-2402.04
"4640",4640,0.108208,6.66998,4.62589,11.4782,3,2,-0.984657047,33343749.11,247.792,52.0889,-97.0147,0.255712,-0.205566,0.538722,5.32471238426036,1258.33370465452,437.341113540914,-2329.94
"4642",4642,0.23926,3.29902,2.36064,15.4864,3,2,-0.984837254,33323001.99,253.933,57.9094,72.5747,0.293367,0.0241736,-0.68246,5.28996194444321,1253.91848096539,487.969959073854,-2480.2
"4652",4652,0.152532,1.11227,1.04831,6.04955,3,2,-0.985783339,33214291.4,273.652,82.0549,-146.783,0.265195,0.561806,0.172999,5.53319532407379,1542.51422318261,1802.30468860435,-2248.69
"4660",4660,0.140859,7.19204,5.02824,52.1367,3,2,-0.9874052,33028754.73,61.8907,56.497,106.554,0.22529,0.603736,-0.170973,5.28751504629574,1273.05756826191,470.29228954419,-2364.06
"4673",4673,0.217265,3.9106,3.38892,32.2205,3,2,-0.988306234,32926127,55.0909,66.3862,-105.321,0.579466,-0.262149,0.158385,5.35035233796195,1196.73565632732,499.700860573757,-2456.06
"4688",4688,0.197084,1.29728,1.19292,2.64759,3,2,-0.98979294,32757487.95,57.5543,63.5938,-86.5214,0.486361,-0.332075,0.181564,5.30605374999896,1219.21119023325,476.45118960834,-2438.15
