"","X","semb","ux","uy","uz","well","stage","mw","m0","mti_strike","mit_dip","mti_rake","mdc","mclvd","mvol","date_time","x_coord","y_coord","z_coord"
"6970",6970,0.134355,4.78582,3.80702,42.5341,3,2,-1.202436933,15716093.38,64.7399,68.1254,-87.4599,0.263011,-0.601087,0.135902,5.37498733796179,1247.01873349707,485.777928052192,-2389.9
"6974",6974,0.221976,3.20348,2.58767,14.4886,3,2,-1.202707243,15701427.4,53.5259,70.4215,80.973,0.761026,0.0995717,-0.139402,5.35297703703796,1187.42720036001,473.60154928018,-2428.97
"7084",7084,0.182857,8.25784,4.13783,154.776,3,2,-1.210681393,15274883.64,59.6972,74.7569,67.0983,0.824553,0.00831954,-0.167127,5.46750930555441,1324.81839059329,729.97725493495,-2430.45
"7121",7121,0.262047,3.30831,2.57294,18.4501,3,2,-1.214285528,15085916.79,72.963,78.8585,-60.8973,0.273766,-0.682252,-0.0439821,5.50782451389013,1401.93581464246,979.409171998504,-2450.79
"7134",7134,0.184122,4.7485,3.64862,32.7712,3,2,-1.215096458,15043722.47,53.8823,68.9534,-93.2505,0.618514,-0.228902,0.152584,5.34934305555567,1180.52088001648,478.247240832539,-2433.92
"7163",7163,0.246182,0.794155,0.789627,1.6636,3,2,-1.216448009,14973660.65,52.1909,62.5528,-93.4452,0.684766,-0.0766728,0.238561,5.38302986111078,1243.24385976293,485.141531949108,-2407.91
"7166",7166,0.200128,5.56496,3.58816,47.158,3,2,-1.216628216,14964343.75,82.866,74.9586,116.709,0.0426393,0.943801,-0.0135597,5.29188120370386,1327.11141712914,1022.91745224493,-2415.16
"7177",7177,0.290221,2.84783,1.99259,19.643,3,2,-1.21779956,14903925.12,52.7973,76.1195,-96.3048,0.754268,-0.0754258,0.170307,5.40891284722145,1350.33660108006,1048.96726606386,-2441.63
"7180",7180,0.129643,4.68184,3.57333,27.2169,3,2,-1.218024819,14892334.12,50.7349,69.0698,68.2981,0.289733,0.630888,-0.0793794,5.57292006944341,1141.47111075684,792.952184867422,-2444.5
"7195",7195,0.140191,4.84811,3.4659,31.1876,3,2,-1.219106059,14836822.86,55.5101,65.1598,79.2724,0.585594,0.280943,-0.133463,5.35638659722275,1186.52484104714,485.120318745694,-2467.72
"7274",7274,0.221189,4.38949,3.24596,11.1609,3,2,-1.225142986,14530666.03,254.804,54.6417,-77.3248,0.250094,-0.153818,0.596088,5.29999960648241,1236.95748173427,424.040434986797,-2377.33
"7288",7288,0.194443,4.4388,3.03219,16.917,3,2,-1.22604402,14485515.99,53.4904,64.6152,82.4365,0.471703,0.393001,-0.135296,5.48604916666669,1396.43357454422,687.593274470627,-2449.97
"7315",7315,0.189837,0.60288,0.586081,1.23285,3,2,-1.227801036,14397876.57,56.6863,68.7311,101.647,0.539574,0.274893,-0.185533,5.43842166666631,1237.51133060149,1052.3260232745,-2269.94
"7320",7320,0.209479,4.65587,2.86503,47.4828,3,2,-1.228026294,14386679.18,280.209,77.215,-147.581,0.131706,0.671772,0.196522,5.47325960648281,1193.81874054827,864.879086649739,-2434.44
"7487",7487,0.188832,4.04847,3.09774,21.8534,3,2,-1.239154063,13844233.18,277.146,89.4213,-148.854,0.181762,0.735273,0.0829644,5.5836104398138,1078.61117933758,811.004620991135,-2404.09
"7517",7517,0.292468,3.18221,2.73145,24.0121,3,2,-1.241001182,13756191.94,52.5041,73.3007,-78.7522,0.568953,0.18751,0.243536,5.46349423611054,1357.60967119862,792.004661780655,-2435.4
"7573",7573,0.251764,2.63751,2.06683,19.7679,3,2,-1.245145938,13560668.3,53.5972,65.4729,90.106,0.680987,0.0868536,-0.232159,5.39865821759182,1186.70682156248,492.544939948152,-2419.9
"7623",7623,0.192126,4.29693,3.28909,35.7396,3,2,-1.248750073,13392908.15,61.9956,71.7442,87.2334,0.483878,-0.202594,-0.313527,5.43808053240732,1357.81954493279,797.682729233562,-2343.45
"7673",7673,0.240019,4.76776,3.98471,29.3898,3,2,-1.252083899,13239578.27,49.7634,67.617,-109.564,0.272924,-0.625367,0.101709,5.42118747685243,1216.1280733253,526.903258445984,-2335.09
"7727",7727,0.139264,4.77109,3.78557,21.7489,3,2,-1.256453913,13041247.3,60.6749,66.8173,88.0449,0.281428,0.578489,-0.140083,5.50550493055472,1337.9517959267,989.66222032571,-2411.93
"7747",7747,0.348312,2.35819,1.80351,26.2997,3,2,-1.258210929,12962345.9,50.3126,77.1337,-93.6469,0.826068,-0.0465723,0.12736,5.37879414351726,1291.65504999616,867.353960383892,-2430.22
"7800",7800,0.156352,1.26757,1.21206,2.63794,3,2,-1.261319496,12823918.7,61.648,68.8658,-85.9665,0.69294,0.0374608,0.2696,5.46530011574151,1441.5544366138,853.388601455458,-2398.95
"7810",7810,0.171561,5.18285,4.45767,33.388,3,2,-1.261724961,12805972.31,39.0208,64.781,66.075,0.071955,0.821047,-0.106998,5.55311261574151,1169.59576080182,803.537573381806,-2422.84
"7865",7865,0.233143,3.79134,2.70111,19.0606,3,2,-1.26623013,12608249.81,70.1827,76.5862,-53.9068,0.44547,-0.475109,0.0794209,5.50333520833265,1381.83817395533,997.588887342826,-2414.7
"7916",7916,0.194223,3.85377,2.77898,17.7288,3,2,-1.269789214,12454209.84,217.634,78.0575,32.8008,0.049266,0.278056,-0.672678,5.29033104166664,1254.60782079361,484.434425167922,-2473.98
"7972",7972,0.131819,4.74398,3.84376,42.0756,3,2,-1.274880056,12237139.64,35.5902,88.931,40.9472,0.206311,0.735372,-0.0583171,5.47454974537094,1316.27096975085,1127.0177125712,-2318.93
"7986",7986,0.217574,3.77812,3.17321,29.0291,3,2,-1.276186555,12182044.1,59.4533,67.3386,81.6659,0.515857,0.394918,-0.0892245,5.32509624999982,997.335317267977,696.340185353942,-2472.69
"7996",7996,0.118693,4.29295,3.92715,33.9806,3,2,-1.276817278,12155535.14,60.4787,71.8233,-116.484,0.423381,-0.496377,0.0802421,5.34916354166689,1154.09107486307,438.804824577975,-2344.59
"8076",8076,0.154254,2.44418,1.99202,7.08211,3,2,-1.281142241,11975306.52,258.402,88.8417,44.0112,0.337287,-0.474522,-0.188191,5.45652962963062,1589.5883681642,1809.99093931589,-2248.98
"8093",8093,0.176424,3.72948,3.16308,20.5072,3,2,-1.28244874,11921389.84,61.1337,74.1141,-114.915,0.523894,0.198979,0.277126,5.51739731481506,1325.79146776301,785.789193174041,-2389.4
"8120",8120,0.16146,5.68225,3.51021,15.533,3,2,-1.284521118,11836364.29,70.9293,65.0672,115.807,0.594784,0.141775,-0.263441,5.41805319444449,1343.86174208606,476.854240473621,-2402.36
"8213",8213,0.256511,4.49204,3.41647,28.1136,3,2,-1.291459079,11556102.4,58.4462,70.4351,102.446,0.781978,0.0655835,-0.152439,5.35020284722249,1233.35200551342,485.473872136287,-2409.25
"8346",8346,0.145216,5.96444,4.32911,32.0938,3,2,-1.298982712,11259676.99,58.9468,66.5744,-87.1109,0.539981,-0.24114,0.218878,5.35194324073968,1166.71704525162,476.429976404926,-2394.64
"8394",8394,0.267061,3.03635,2.15883,7.8468,3,2,-1.301685813,11155043.82,63.9271,73.8227,64.5362,0.797143,-0.01045,-0.192407,5.30372127314685,1349.81025189399,1012.15528703525,-2389.89
"8444",8444,0.158463,4.86209,4.14782,26.2406,3,2,-1.304208708,11058263.6,54.5154,68.7047,-82.3135,0.517235,-0.299365,0.1834,5.41473800926021,1519.07885207399,974.2119371568,-2419.66
"8524",8524,0.102603,6.16916,5.19682,52.1619,3,2,-1.30826336,10904479.99,75.1442,72.2446,-72.4803,0.307675,-0.537225,0.1551,5.60284493055609,1331.44513652381,908.387366896126,-2433.93
"8637",8637,0.10267,7.19584,4.49809,82.0567,3,2,-1.315201321,10646283.3,60.9615,65.0546,93.3406,0.410621,0.334681,-0.254698,5.41023032407518,1611.02814126831,1080.61029452196,-2487.45
"8642",8642,0.229389,2.72906,3.57912,58.0539,3,2,-1.315336476,10641314.68,54.2048,67.5693,-90.9079,0.225082,-0.653859,0.12106,5.4890886111116,1266.30173824161,1026.12064596369,-2319.45
"8694",8694,0.204175,4.0682,3.01529,28.2647,3,2,-1.31835494,10530950.95,50.3569,66.9862,-74.5644,0.627341,-0.138163,0.234497,5.56914787036953,1190.32522689591,765.686147384871,-2363.52
"8772",8772,0.171029,5.72827,4.25565,17.7992,3,2,-1.323130419,10358678.91,50.0748,65.8685,-84.3295,0.502992,-0.33612,0.160889,5.29774296296416,1222.14159787332,486.817375020558,-2480.07
"8815",8815,0.278235,1.60287,1.0439,4.34777,3,2,-1.325428056,10276800.27,67.2087,78.7397,119.699,0.240468,0.672637,0.0868952,5.29641493055556,1425.23962377148,1678.80141820232,-2128.9
"8846",8846,0.130302,6.07189,5.16139,34.1579,3,2,-1.326554348,10236900.4,59.965,68.4405,-71.8734,0.664579,-0.0870001,0.248421,5.50354655092513,1813.27144917842,1111.26337348638,-2521.48
"8928",8928,0.30392,2.74994,1.8285,37.3513,3,2,-1.331329827,10069438.63,59.2806,78.1422,103.132,0.760084,0.18895,-0.0509663,5.48694057870242,1591.76248109654,1105.29539225317,-2485.4
"8936",8936,0.116341,7.50767,4.73408,35.662,3,2,-1.331960551,10047526.81,70.2975,68.5828,114.637,0.305901,0.528583,-0.165516,5.51949215277754,1357.30177797982,794.147195327629,-2447.08
"8946",8946,0.326756,2.75798,2.34234,27.4724,3,2,-1.332771482,10019424.5,77.9401,73.836,61.6001,0.356595,-0.435477,-0.207928,5.49908120370297,1310.74749583667,927.415610377879,-2382.32
"9019",9019,0.200137,3.92949,2.3756,20.2904,3,2,-1.337501909,9857054.02,59.0752,74.8097,-77.3566,0.765793,-0.0472551,0.186952,5.55339233796354,1316.32882707589,788.92874728251,-2445.61
"9024",9024,0.228009,3.08721,2.60243,22.3223,3,2,-1.337817271,9846323.34,56.9547,72.4074,89.9158,0.432295,0.429755,-0.13795,5.28695152777765,1324.62862133363,989.725859936035,-2356.22
"9049",9049,0.297135,2.85003,1.88893,20.4043,3,2,-1.339619339,9785228.95,55.8919,83.3225,-82.9127,0.321085,0.471054,0.207861,5.48287004629495,1694.68209140333,1113.38469382994,-2483.63
"9104",9104,0.227166,5.42908,4.80982,20.3235,3,2,-1.342727906,9680730.74,68.9756,59.5396,-60.363,0.0566291,-0.837368,0.106003,5.29040678240635,1286.27023779155,494.284422629886,-2409.79
"9217",9217,0.115237,6.26645,22.1669,51.8497,3,2,-1.34921535,9466228.32,208.611,85.3537,145.488,0.15678,-0.823117,-0.0201033,5.57995240740754,1146.46672029471,1027.44293564454,-2417.45
"9254",9254,0.184504,4.88192,3.93236,25.94,3,2,-1.351287728,9398713.43,52.3309,70.4228,-100.94,0.238696,-0.695061,0.0662432,5.51270303240805,1133.65648955436,786.079106954309,-2444.39
"9325",9325,0.238608,4.61314,3.45769,18.6876,3,2,-1.355387432,9266566.61,67.554,71.5582,-98.697,0.277411,0.395259,0.327329,5.56924148148133,1050.74234457275,829.078270318261,-2435.02
"9343",9343,0.200146,4.30514,3.04682,20.0239,3,2,-1.356603827,9227716.84,50.7925,71.7919,74.3161,0.362243,0.621403,-0.0163538,5.47440863425809,1379.06804063828,703.616314132337,-2399.24
"9377",9377,0.155166,4.09631,3.48769,32.7496,3,2,-1.35854105,9166180.92,72.8452,70.7219,-74.2249,0.211055,-0.672517,0.116428,5.44046296296296,1231.40262210253,1033.65133318334,-2366.65
"9420",9420,0.216772,1.4528,1.35919,3.03523,3,2,-1.36092879,9090898.63,54.7133,66.4529,-90.53,0.142033,-0.816018,-0.0419487,5.39973668981481,1010.38097743977,680.451495980659,-2432.27
"9528",9528,0.154897,5.50161,3.42391,33.8767,3,2,-1.366109735,8929669.75,59.1293,66.9386,-88.0257,0.241238,-0.617366,0.141396,5.50650018518446,1324.9157281148,991.026936413436,-2417.33
"9557",9557,0.262625,3.08781,2.62666,19.2729,3,2,-1.368227164,8864602.25,56.5033,73.1354,86.6397,0.798202,0.0288185,-0.172979,5.43857726851823,1336.44166966083,997.772735105941,-2352.44
"9797",9797,0.156797,5.5582,4.08417,29.3165,3,2,-1.380526277,8495923.33,46.9614,72.0368,112.528,0.412359,-0.325527,-0.262114,5.50399467592714,1370.31789258109,993.395744130394,-2423.65
"9832",9832,0.165896,6.55818,4.923,68.8778,3,2,-1.382463499,8439267.47,61.5399,70.2453,88.4841,0.673893,0.097601,-0.228505,5.30636240740617,1352.8312838121,688.653934642407,-2509.9
"9841",9841,0.145562,4.44578,3.66677,18.1256,3,2,-1.38300412,8423524.05,61.0552,73.0263,-82.1575,0.622186,-0.192412,0.185402,5.48012067129766,1712.36407191867,1096.06057769087,-2524.91
"9864",9864,0.174226,0.919159,1.29293,2.04788,3,2,-1.384175464,8389514.02,66.8768,67.4273,95.1581,0.26975,0.670527,-0.0597233,5.53651490740754,1327.51963146041,937.838364332562,-2449.82
"9892",9892,0.193697,4.05139,3.22773,15.7952,3,2,-1.38566217,8346545.11,58.1374,78.0426,59.9077,0.555362,0.38297,-0.0616677,5.43085273148285,1190.91825343175,1061.0305077509,-2384.26
"9987",9987,0.266035,4.35552,5.61407,25.6084,3,2,-1.390347546,8212562.37,64.6218,79.4206,116.86,0.629496,0.320698,-0.049806,5.48704787037163,1573.33141328469,1114.28979050984,-2403.18
"9996",9996,0.121012,8.27232,5.01948,61.56,3,2,-1.390707959,8202345.55,263.308,87.927,-148.913,0.41141,0.553807,0.0347827,5.46602800925849,1264.7607390105,940.383948744817,-2351.1
"10157",10157,0.262086,3.23196,2.69474,12.3149,3,2,-1.399673246,7952251.94,57.6262,73.7175,74.7991,0.722099,-0.111375,-0.166526,5.51233747685121,1535.17430650349,1166.54498163954,-2188.83
"10165",10165,0.243088,4.82236,3.62849,17.716,3,2,-1.400258918,7936182.07,63.403,70.1542,-113.249,0.636345,0.158701,0.204954,5.43638664351845,1177.86984104714,497.360337128031,-2380.9
"10302",10302,0.154649,4.01101,3.10249,13.0264,3,2,-1.407962758,7727799.81,48.6067,64.9966,-76.9655,0.651134,-0.136403,0.212463,5.41279995370242,1407.60127996761,1050.7774594237,-2411.64
"10355",10355,0.113213,5.15567,3.76311,24.7858,3,2,-1.410620808,7657178.8,283.636,77.2321,17.2454,0.475773,-0.437923,-0.0863039,5.58528335648278,1333.46447635202,902.970928952255,-2429.48
"10524",10524,0.107189,7.06901,4.74547,23.3802,3,2,-1.41945094,7427173.86,68.8193,67.1241,-56.252,0.29367,-0.616245,0.0900844,5.39972789351863,1162.39625881401,485.954704747489,-2497.73
"10535",10535,0.256211,2.25154,1.3921,8.31645,3,2,-1.41999156,7413318.51,66.6568,75.7412,123.43,0.337899,0.598498,0.063603,5.45657898148177,1525.40004935844,1719.81361151114,-2116.94
"10628",10628,0.131191,4.84221,4.00453,16.3557,3,2,-1.424947246,7287509.45,52.9092,67.9881,-101.655,0.334757,-0.496078,0.169165,5.51161435185207,1338.3761357549,986.501453013826,-2414.48
"10647",10647,0.155494,5.08482,4.45869,8.72106,3,2,-1.426028487,7260345.19,54.913,64.3356,94.5045,0.329942,0.544667,-0.125391,5.33968789351759,1310.32721830689,467.944695030687,-2419.87
"10685",10685,0.323306,1.68578,1.32147,6.85066,3,2,-1.428055813,7209684.84,56.6227,76.4677,-90.9808,0.474948,-0.519838,0.00521443,5.508707291666,1333.48006794302,976.354470703815,-2411.98
"10690",10690,0.282014,2.81305,2.18638,5.50158,3,2,-1.428281072,7204077.76,62.8851,79.8754,100.289,0.752344,0.219246,0.0284099,5.48835439814738,1538.34956993085,1014.38974446382,-2390.01
"10735",10735,0.12189,1.64865,1.53996,3.33533,3,2,-1.430713863,7143798.65,66.5419,71.6821,96.852,0.68013,0.153923,-0.165947,5.50869541666574,1325.73161197575,948.048986252898,-2408.28
"10789",10789,0.222125,0.800777,0.767976,1.5639,3,2,-1.433462016,7076312.05,53.3838,72.4309,-91.4619,0.464683,-0.461386,0.0739308,5.57240946759228,1119.68578964437,906.555960332876,-2437.96
"10790",10790,0.123238,2.15904,1.97025,4.19066,3,2,-1.433507068,7075211.03,17.7865,83.1463,40.4147,0.223971,0.733784,-0.0422455,5.5995645370362,1321.76683566491,909.271250372609,-2383.69
"10870",10870,0.124782,5.84999,3.45763,17.4904,3,2,-1.437651824,6974647.51,56.0216,68.1847,81.2344,0.515499,0.263976,-0.220526,5.41230576388814,1007.58026663409,920.846588380671,-2291.89
"10902",10902,0.143969,3.91831,4.10478,50.0011,3,2,-1.439183581,6937845.57,50.8371,76.3312,68.556,0.379134,0.546802,-0.074064,5.43241069444352,1585.93493078152,761.019242629056,-2289.01
"10935",10935,0.142841,4.88266,3.84585,37.2442,3,2,-1.441075753,6892652.29,59.6798,68.7194,100.506,0.412859,0.465565,-0.121577,5.55672523148082,1125.20821753802,817.658495802082,-2448.51
"11004",11004,0.15029,5.52476,13.0638,9.42034,3,2,-1.444769991,6805264.56,62.0171,76.9159,122.225,0.353246,0.609147,0.0376071,5.26618601851717,1493.26527304759,1720.87427168292,-2232.45
"11050",11050,0.176006,4.98583,3.3693,16.9954,3,2,-1.446887421,6755676.87,80.3358,74.8635,115.14,0.359705,0.531578,-0.108716,5.60443694444442,1387.32602038473,787.535746923551,-2393.93
"11273",11273,0.174898,5.58087,4.07975,25.5277,3,2,-1.458871171,6481764.43,62.6733,71.4648,77.307,0.510974,-0.21653,-0.272496,5.59470824074138,1223.36440072007,825.6558734973,-2306.01
"11296",11296,0.192521,4.69115,3.28591,14.6772,3,2,-1.460267774,6450573.66,48.5074,86.203,-129.705,0.365441,-0.58516,-0.0493988,5.58000942129504,1155.79423471599,1030.469352668,-2419.82
"11359",11359,0.385934,2.60748,2.08286,22.2073,3,2,-1.463286237,6383673.18,63.8985,76.4247,74.069,0.802659,-0.0894918,-0.107849,5.50393768518611,1306.5232822743,929.975336925771,-2391.11
"11437",11437,0.197494,4.31515,2.92863,11.7905,3,2,-1.467836458,6284132.2,64.0234,70.9351,-70.3082,0.44495,-0.382714,0.172335,5.48705789351905,1526.24726830306,1106.61768193398,-2449.93
"11491",11491,0.156423,4.70064,3.56073,20.2052,3,2,-1.470314302,6230581.01,53.1393,81.4749,99.2699,0.264663,-0.492033,-0.243305,5.48244879629601,1713.8528489984,1050.42390603311,-2428.38
"11692",11692,0.182024,6.52664,5.20781,172.9,3,2,-1.481081656,6003126.79,49.653,71.0698,-110.101,0.30654,-0.614969,0.0784915,5.50458810185117,1318.60780605346,969.219763281625,-2417.01
"11732",11732,0.170294,4.70062,3.88555,26.6799,3,2,-1.484010016,5942716,89.9486,85.2327,-44.5424,0.0629329,-0.884105,0.0529623,5.60444150463023,1323.7681271659,879.127288290665,-2381.31
"11783",11783,0.14474,7.25161,4.41778,32.3122,3,2,-1.486397756,5893908.18,60.287,74.7189,111.585,0.484595,0.449525,-0.0658799,5.2885106250009,1308.72958467097,763.826456550388,-2475.34
"12235",12235,0.122597,7.36177,4.48766,55.0809,3,2,-1.50725669,5484221.22,64.3076,73.793,80.853,0.66464,0.121343,-0.214017,5.47669479166744,1663.4545481395,1108.89456576942,-2483.08
"12260",12260,0.113655,0.832915,0.719789,10.3548,3,2,-1.508563189,5459529.49,61.2156,75.4569,86.2569,0.475411,0.423226,-0.101363,5.63998479166793,1357.81625496954,649.169091980973,-2151.27
"12315",12315,0.178058,4.0008,3.21517,18.083,3,2,-1.511761859,5399545.58,72.519,80.3367,-65.1234,0.309021,-0.689634,-0.00134496,5.47751608796418,1560.69729714559,1090.33301276328,-2439.26
"12337",12337,0.12138,5.13616,4.43872,24.8909,3,2,-1.512527738,5385281.29,42.7837,72.4831,-98.3989,0.367341,-0.570685,0.061974,5.56038590277787,1113.0118683519,797.350389046424,-2445.25
"12389",12389,0.120395,5.63736,4.11777,40.0323,3,2,-1.51496053,5340220.69,24.4901,75.8635,-67.0619,0.0736204,0.666176,0.260204,5.523060949075,1387.25880528455,960.048588329655,-2408.49
"12458",12458,0.145216,3.49315,2.78117,22.6635,3,2,-1.519510751,5256950.33,280.271,81.167,-141.054,0.207239,0.695676,0.0970852,5.60164456018419,1313.82472888371,918.795978715214,-2380
"12459",12459,0.162907,7.82085,4.33205,37.327,3,2,-1.519555802,5256132.41,60.7525,72.525,-73.2916,0.670219,-0.169436,0.160345,5.48192576388794,1525.39155044621,1040.39713187584,-2435.08
"12525",12525,0.133761,4.48521,3.49849,24.7405,3,2,-1.522484163,5203238.77,53.9524,68.1434,-87.0793,0.702859,0.045183,0.251958,5.29836597222145,1258.10157608201,707.39226434385,-2434.6
"12587",12587,0.132941,4.97452,4.00834,12.5149,3,2,-1.525908091,5142068.57,67.7881,86.8882,66.9806,0.825239,-0.0540871,0.120674,5.33264569444513,1724.42130817245,1818.18630690981,-2248.97
"12632",12632,0.165639,1.78118,1.73695,3.74917,3,2,-1.528476038,5096663.29,61.9726,68.1459,105.065,0.302027,0.526499,-0.171474,5.32028453703832,1245.73253941935,476.500687083028,-2432.32
"12667",12667,0.121716,5.70561,5.50216,27.4852,3,2,-1.530007795,5069770.59,288.757,75.1252,-161.36,0.31022,0.683852,-0.00592853,5.51317923611237,1403.39425266288,848.460067190566,-2379.31
"12698",12698,0.136388,5.1488,3.7054,28.5416,3,2,-1.531629656,5041450.6,56.6416,74.9059,-81.3738,0.637605,-0.255046,0.107349,5.41766854166709,1742.01212024586,1078.88495397586,-2503.71
"12707",12707,0.233743,3.38341,2.44255,19.1865,3,2,-1.532125225,5032828.86,62.9322,76.7047,-71.5357,0.589894,-0.360311,0.0497951,5.51057495370507,1551.27846238077,1082.3144218646,-2502.6
"12779",12779,0.11507,6.70009,6.33655,31.859,3,2,-1.536855653,4951268.98,59.3569,66.8485,-112.78,0.304507,-0.565048,0.130444,5.29751449074182,1240.95464620055,484.964755253811,-2411.16
"12783",12783,0.233061,3.7336,2.92527,29.8568,3,2,-1.537080911,4947418.33,56.3187,81.7942,-82.3223,0.614902,0.261591,0.123507,5.49555833333344,1547.20191834807,1127.34298169056,-2382.8
"12871",12871,0.19379,4.35222,3.94729,29.988,3,2,-1.542036597,4863457.27,66.0658,78.0863,101.826,0.690939,0.246772,-0.0622889,5.47832187499989,1492.70535636847,1075.52619676523,-2426.11
"12896",12896,0.140411,8.12404,5.1459,21.2033,3,2,-1.543072786,4846082.7,78.9289,73.2516,93.3042,0.45179,0.381823,-0.166386,5.44328518518419,1198.99395334175,948.890443322511,-2368.95
"12904",12904,0.198076,3.08713,2.05028,25.151,3,2,-1.543523303,4838547.91,68.1111,81.5384,-85.6251,0.91716,-0.0232197,0.0596203,5.31122250000084,1238.66911229462,479.661454394912,-2399
"12917",12917,0.188368,6.32688,4.6442,61.9578,3,2,-1.54424413,4826516.61,59.2508,75.428,-99.1096,0.543241,-0.340043,0.116717,5.49667009259264,1340.26676708415,953.953327875789,-2436.62
"13038",13038,0.160975,4.51435,3.70811,28.5398,3,2,-1.550145902,4729128.85,61.415,75.4415,86.284,0.671991,-0.107175,-0.220835,5.35723118055474,1279.60314895725,670.156021246585,-2376.86
"13089",13089,0.241624,4.44992,3.21333,38.0632,3,2,-1.552894056,4684453.32,63.6461,80.1549,95.9731,0.208261,0.715668,0.0760711,5.43884902777771,1327.29592296142,910.841027426865,-2323.58
"13174",13174,0.144035,4.62526,4.64802,50.5981,3,2,-1.557624483,4608539.09,72.8271,88.1496,147.208,0.271969,0.611522,0.116509,5.34311988426027,1767.93410396796,1793.35271675455,-2275.51
"13215",13215,0.21565,1.25571,1.15377,2.72272,3,2,-1.560057275,4569977.77,61.4309,78.7412,-78.278,0.434665,-0.476793,-0.0885424,5.42012687499876,1342.4594366138,993.530094418821,-2398.94
"13303",13303,0.130542,5.6165,4.89768,93.4944,3,2,-1.56550853,4484739.33,64.4081,65.3401,-97.67,0.684711,-0.0244358,0.290853,5.40287266203651,1366.91964940728,1050.26834254122,-2340.45
"13305",13305,0.132881,3.14893,3.01274,8.28054,3,2,-1.565598633,4483343.87,261.835,89.6713,42.2955,0.377794,-0.337125,-0.285081,5.51853069444497,1626.39811563252,1769.88384268696,-2248.81
"13317",13317,0.195072,6.0258,3.61885,48.5335,3,2,-1.56631946,4472195.81,57.9134,76.5725,-77.4584,0.580025,0.288873,0.131101,5.50684386574008,1350.12796116185,951.103687547629,-2456.06
"13535",13535,0.172539,1.91462,1.95988,4.98534,3,2,-1.579249296,4276870.06,58.6585,76.2354,98.5124,0.781,0.112676,-0.106324,5.43157185185287,1494.41460966907,973.243200866578,-2461.76
"13878",13878,0.203179,4.81621,4.27839,37.1609,3,2,-1.598936886,3995716.54,58.5768,74.2586,83.1942,0.805665,0.00731503,-0.18702,5.50845289351764,1378.06606717414,1001.21634513032,-2382.34
"14476",14476,0.125176,6.30192,5.90235,18.4953,3,2,-1.635608965,3520355.74,47.6133,76.8019,-116.87,0.425806,-0.524102,0.0500917,5.57885289351973,1115.76344122714,786.630650243654,-2373.64
"14564",14564,0.118067,6.9113,5.31823,45.4486,3,2,-1.641015168,3455232.28,67.9448,73.0797,-70.0157,0.128062,-0.835591,0.0363478,5.47562201389008,1565.13257851984,1104.54585906511,-2378.28
"14599",14599,0.169408,4.2646,2.93039,34.3223,3,2,-1.642952391,3432190.73,277.744,74.794,28.5856,0.26425,-0.599213,-0.136537,5.47481724537081,1460.28512562814,861.895096033111,-2304.45
"14698",14698,0.252837,3.62067,2.84277,16.0195,3,2,-1.649935403,3350401.82,62.1371,84.1385,103.656,0.884055,-0.0908132,-0.0251316,5.48788574074154,1410.60762915373,1084.08218881757,-2411.55
"14775",14775,0.141794,5.97221,4.97946,18.4068,3,2,-1.654305417,3300212.27,62.5372,77.6742,108.493,0.370897,0.60923,-0.0198731,5.5408960648157,1844.09688566106,1114.6150596292,-2462.1
"14936",14936,0.137618,6.30228,4.35821,31.0224,3,2,-1.665523289,3174790.46,67.1215,74.5825,-72.1271,0.36681,-0.531314,0.101875,5.48013356481437,1669.36508204543,1109.07134246472,-2495.56
"14946",14946,0.203485,4.34229,3.39106,16.4423,3,2,-1.665838651,3171334.29,57.8922,79.2251,-92.8141,0.876538,-0.025558,0.0979044,5.49748173611032,1356.28273747269,986.784295726316,-2356.28
"14955",14955,0.233356,3.67549,2.87952,15.5514,3,2,-1.666469375,3164433.24,68.4338,79.5373,-71.739,0.384081,-0.548685,-0.0672342,5.44015208333455,1201.00771952581,1038.22631405764,-2380.53
"14968",14968,0.162811,2.10702,2.08716,4.55277,3,2,-1.667370408,3154600.65,56.9803,78.7096,83.1231,0.865589,-0.0357276,-0.0986832,5.43087789351741,1151.78534226608,949.929890290836,-2410.8
"15042",15042,0.143508,6.22501,4.70921,23.6025,3,2,-1.67327218,3090948.22,54.9248,82.9522,-80.9273,0.321737,0.458584,0.219678,5.46386076388812,1276.58801179575,816.109931951282,-2382.23
"15052",15052,0.133731,4.28423,3.76915,23.256,3,2,-1.673902904,3084222.09,38.7449,75.69,53.5281,0.0513832,0.886986,-0.0616312,5.46076289351892,1346.80471798805,1007.87021994126,-2288.67
"15088",15088,0.174628,4.79513,2.99415,67.7247,3,2,-1.67620054,3059843.33,62.9621,76.9375,100.028,0.249355,0.668325,-0.0823198,5.59889666666587,1278.99174913728,872.459271344039,-2389.58
"15135",15135,0.142434,5.14402,3.40856,38.0836,3,2,-1.6804354,3015413.67,59.2205,73.3355,91.2255,0.590244,0.243343,-0.166413,5.53646877314757,1317.89699077329,941.204192611017,-2433.21
"15171",15171,0.142401,2.82891,2.719,6.11926,3,2,-1.682552829,2993441.37,66.303,75.4914,110.508,0.342106,0.610207,-0.0476872,5.50897013888867,1337.79799000441,1000.97592882469,-2377.77
"15194",15194,0.147182,5.34155,4.17484,35.6732,3,2,-1.683769225,2980891.46,56.3078,71.2656,-104.576,0.622928,-0.242561,0.134511,5.29688011573973,1324.29336175072,698.284729002205,-2399.88
